"suite","id","category","finalPass","firstAttemptPass","secondAttemptPass","cacheHitRatePct","costUsd","wallClockMs","toolResultChars","failureRecoveryEvents","proAdmissionCount","rawTranscriptPath"
"hard-engineering","deepseek-route-cost-cache","deepseek-runtime","true","false","true","65.4","0.010754","66084","10967","7","0",".dsxu/trace/hard-engineering-benchmark/deepseek-route-cost-cache-dsxu-2026-05-19T15-14-42-633Z.jsonl"
"hard-engineering","release-claim-evidence-binder","release-evidence","true","false","true","61.9","0.010584","90901","8112","3","0",".dsxu/trace/hard-engineering-benchmark/release-claim-evidence-binder-dsxu-2026-05-19T15-15-55-515Z.jsonl"
"hard-engineering","repo-swe-checkout-pricing","repo-swe","true","false","true","66.9","0.008284","86419","12872","8","0",".dsxu/trace/hard-engineering-benchmark/repo-swe-checkout-pricing-dsxu-2026-05-19T01-42-06-074Z.jsonl"
"hard-engineering","terminal-devops-result-recovery","terminal-devops","true","false","true","67.8","0.013207","74712","12876","5","0",".dsxu/trace/hard-engineering-benchmark/terminal-devops-result-recovery-dsxu-2026-05-19T01-43-36-514Z.jsonl"
"hard-engineering","tool-policy-claim-permission","tool-policy","true","false","true","55.1","0.047126","524406","22303","14","0",".dsxu/trace/hard-engineering-benchmark/tool-policy-claim-permission-dsxu-2026-05-19T01-44-54-373Z.jsonl"
"hard-engineering","visible-product-timeline","visible-product","true","false","true","56.5","0.014751","103808","11889","8","0",".dsxu/trace/hard-engineering-benchmark/visible-product-timeline-dsxu-2026-05-19T15-12-51-746Z.jsonl"
"hard-engineering","context-recovery-source-truth","context-recovery","true","false","true","78.8","0.005845","47911","7986","5","0",".dsxu/trace/hard-engineering-benchmark/context-recovery-source-truth-dsxu-2026-05-19T01-56-30-491Z.jsonl"
"hard-engineering","agent-merge-evidence-envelope","agent-coordination","true","false","true","75.6","0.005647","38882","10093","7","0",".dsxu/trace/hard-engineering-benchmark/agent-merge-evidence-envelope-dsxu-2026-05-19T01-57-29-930Z.jsonl"
"hard-engineering","mcp-skill-priority-boundary","mcp-skill","true","false","true","74.2","0.006586","57647","9538","7","0",".dsxu/trace/hard-engineering-benchmark/mcp-skill-priority-boundary-dsxu-2026-05-19T01-58-13-956Z.jsonl"
"raw-api-vs-dsxu","route-policy-flash-first","workflow-lift","true","false","true","40.7","0.008364","45197","5625","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/route-policy-flash-first-dsxu-2026-05-19T02-01-30-326Z.jsonl"
