"path","ext","kind","bytes","lines","reasonixMechanisms","performanceVectors","dsxuAbsorptionOwner","absorptionDecision"
".env.example",".example","other-support","139","0","no-direct-performance-mechanism","neutral-or-reference-only","No direct DSXU mechanism owner","review-only"
".gitattributes",".gitattributes","other-support","537","0","no-direct-performance-mechanism","neutral-or-reference-only","No direct DSXU mechanism owner","review-only"
".github/FUNDING.yml",".yml","repo-governance","17","2","no-direct-performance-mechanism","neutral-or-reference-only","No direct DSXU mechanism owner","use-as-open-source-process-pattern-only"
".github/ISSUE_TEMPLATE/bug_report.md",".md","repo-governance","961","31","tool-result-budget;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-open-source-process-pattern-only"
".github/ISSUE_TEMPLATE/display_issue.md",".md","repo-governance","3475","110","tool-result-budget;visible-work-state;context-recovery;evidence-release-claim","token-cache-positive;memory-positive;ui-latency-risk;memory-io-risk;observability-io-risk","Tool Gate / DeepSeek adapter / VerificationKernel","use-as-open-source-process-pattern-only"
".github/ISSUE_TEMPLATE/feature_request.md",".md","repo-governance","513","21","no-direct-performance-mechanism","neutral-or-reference-only","No direct DSXU mechanism owner","use-as-open-source-process-pattern-only"
".github/issue-labeler.yml",".yml","repo-governance","1088","26","tool-result-budget;visible-work-state;permission-tool-gate;parallel-safe-dispatch;evidence-release-claim","token-cache-positive;memory-positive;ui-latency-risk;safety-positive-latency-risk;latency-positive-ordering-risk;observability-io-risk","Tool Gate / DeepSeek adapter / VerificationKernel","use-as-open-source-process-pattern-only"
".github/PULL_REQUEST_TEMPLATE.md",".md","repo-governance","600","21","visible-work-state;permission-tool-gate;context-recovery","ui-latency-risk;safety-positive-latency-risk;memory-io-risk","TUI / work-state timeline owner","use-as-open-source-process-pattern-only"
".github/workflows/ci.yml",".yml","repo-governance","1908","76","cache-first-loop;tool-call-repair;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;quality-positive-latency-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-open-source-process-pattern-only"
".github/workflows/codeql.yml",".yml","repo-governance","815","39","permission-tool-gate","safety-positive-latency-risk","Permission / Tool Gate owner","use-as-open-source-process-pattern-only"
".github/workflows/issue-labeler.yml",".yml","repo-governance","441","23","tool-result-budget;permission-tool-gate","token-cache-positive;memory-positive;safety-positive-latency-risk","Tool Gate / DeepSeek adapter / VerificationKernel","use-as-open-source-process-pattern-only"
".github/workflows/issue-similarity.yml",".yml","repo-governance","428","21","permission-tool-gate","safety-positive-latency-risk","Permission / Tool Gate owner","use-as-open-source-process-pattern-only"
".github/workflows/oosmetrics.yml",".yml","repo-governance","290","18","tool-result-budget;permission-tool-gate;evidence-release-claim","token-cache-positive;memory-positive;safety-positive-latency-risk;observability-io-risk","Tool Gate / DeepSeek adapter / VerificationKernel","use-as-open-source-process-pattern-only"
".github/workflows/release.yml",".yml","repo-governance","6062","154","cache-first-loop;tool-result-budget;visible-work-state;permission-tool-gate;parallel-safe-dispatch","token-cache-positive;memory-positive;ui-latency-risk;safety-positive-latency-risk;latency-positive-ordering-risk","DeepSeek route / cost / cache owner","use-as-open-source-process-pattern-only"
".github/workflows/release-mirror.yml",".yml","repo-governance","2291","75","tool-result-budget;permission-tool-gate","token-cache-positive;memory-positive;safety-positive-latency-risk","Tool Gate / DeepSeek adapter / VerificationKernel","use-as-open-source-process-pattern-only"
".github/workflows/release-render.yml",".yml","repo-governance","6171","162","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;parallel-safe-dispatch;mcp-skill-agent-envelope","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;latency-positive-ordering-risk;integration-risk","DeepSeek route / cost / cache owner","use-as-open-source-process-pattern-only"
".gitignore",".gitignore","other-support","1323","0","no-direct-performance-mechanism","neutral-or-reference-only","No direct DSXU mechanism owner","review-only"
"benchmarks/README.md",".md","benchmark-evidence","4704","114","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/real-world-cache/2026-05-01-deepseek-dashboard.png",".png","benchmark-evidence","22695","0","cache-first-loop;visible-work-state;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;ui-latency-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/real-world-cache/README.md",".md","benchmark-evidence","2995","77","cache-first-loop;tool-result-budget;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
