"ownerPacket","paths","modified","deleted","untracked","c2Priority","signoffState","executionRule"
"V20-OGR-01-docs-generated-plan","52","2","0","50","0","OWNER_ACCEPTED_RELEASE_EVIDENCE_PENDING_GIT_REVIEW","Keep only release-owned docs/evidence; non-ship generated/source-truth evidence must be release-excluded or rewritten for clean export."
"V20-OGR-02-delete-old-evidence-review-runtime","45","0","45","0","0","DELETE_REVIEW_ACCEPTED_PENDING_GIT_STAGE","Keep deleted; stage removal only when explicit Git mutation/stage permission is granted."
"V20-OGR-02-delete-old-provider-legacy-harness","71","0","71","0","0","DELETE_REVIEW_ACCEPTED_PENDING_GIT_STAGE","Keep deleted; stage removal only when explicit Git mutation/stage permission is granted."
"V20-OGR-02-delete-state-owner-review","27","0","27","0","0","DELETE_REVIEW_ACCEPTED_PENDING_GIT_STAGE","Keep deleted; stage removal only when explicit Git mutation/stage permission is granted."
"V20-OGR-03-delete-engine-builtin-tools-runtime","2","0","2","0","0","DELETE_REVIEW_ACCEPTED_PENDING_GIT_STAGE","Keep deleted; stage removal only when explicit Git mutation/stage permission is granted."
"V20-OGR-03-tool-permission-lifecycle","192","188","0","4","12","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against Tool Gate and Permission owner; reject hidden runner shortcuts"
"V20-OGR-04-delete-engine-mcp-client-runtime","1","0","1","0","0","DELETE_REVIEW_ACCEPTED_PENDING_GIT_STAGE","Keep deleted; stage removal only when explicit Git mutation/stage permission is granted."
"V20-OGR-04-mcp-skill-plugin-registry","141","138","0","3","11","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against src/services/mcp, skills, plugins registry only"
"V20-OGR-05-agent-task-lifecycle","202","202","0","0","16","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against AgentTool/Task lifecycle; reject simulator/runtime duplicates"
"V20-OGR-05-external-integration-adapter-boundary","32","30","0","2","0","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff as adapter boundary; reject standalone host runtime"
"V20-OGR-06-ui-tui-visible-state","476","475","0","1","110","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff as UI/TUI projection; reject direct tool/query/provider runtime"
"V20-OGR-07-provider-migration-model-cost","107","97","0","10","40","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against DeepSeek adapter/router/cost evidence"
"V20-OGR-08-cli-command-transport","181","180","0","1","12","OWNER_ACCEPTED_PENDING_GIT_REVIEW","review CLI/transport as entry boundary only; no second query loop"
"V20-OGR-09-dsxu-engine-mainline","89","64","0","25","0","OWNER_ACCEPTED_PENDING_GIT_REVIEW","review engine mainline composition and evidence terms"
"V20-OGR-10-entry-query-tool-composition","20","20","0","0","4","OWNER_ACCEPTED_PENDING_GIT_REVIEW","review entry/query/tool composition only; no fallback composition"
"V20-OGR-12-delete-duplicate-desktop-deeplink-helper","1","0","1","0","0","DELETE_REVIEW_ACCEPTED_PENDING_GIT_STAGE","Keep deleted; stage removal only when explicit Git mutation/stage permission is granted."
"V20-OGR-12-shared-platform-utilities","254","252","0","2","115","CONDITIONAL_OWNER_ACCEPTED_IMPORT_REQUIRED","Retain only utilities imported by named owners; unused/product-specific helpers become replace/delete candidates."
