"Path","Exists","Count","Category","Phase","Owner","Decision","Signal"
"src/dsxu/engine/retrieval/integration-example.ts","True","1","p0-permission-delete-residue","P0","Workspace Permission Owner","external ACL delete only; product source body is empty","src/dsxu/engine/retrieval/integration-example.ts: exists"
"src/dsxu/integration/harness/recovery-runtime-v3-harness.ts","True","1","p0-permission-delete-residue","P0","Workspace Permission Owner","external ACL delete only; product source body is empty","src/dsxu/integration/harness/recovery-runtime-v3-harness.ts: exists"
"src/dsxu/legacy/testing/legacyProviderMockRateLimits.ts","True","1","p0-permission-delete-residue","P0","Workspace Permission Owner","external ACL delete only; product source body is empty","src/dsxu/legacy/testing/legacyProviderMockRateLimits.ts: exists"
"src\constants\keys.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\constants\keys.ts:3:// Lazy read so ENABLE_GROWTHBOOK_DEV from globalSettings.env (applied after"
"src\constants\keys.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\constants\keys.ts:7:    ? isEnvTruthy(process.env.ENABLE_GROWTHBOOK_DEV)"
"src\main.tsx","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\main.tsx:2062:    if (false && explicitModel && explicitModel !== 'default' && !hasFeatureFlagEnvOverride('tengu_ant_model_override') && getGlobalConfig().cachedGrowthBookFeatures?.['tengu_ant_model_override'] == null) {"
"src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts:5:// source: events_mono/growthbook/v1/growthbook_experiment_event.proto"
"src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts:12: * GrowthBook experiment assignment event"
"src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts:14: * See: https://docs.growthbook.io/guide/bigquery"
"src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts:19:  /** When user was exposed to experiment (maps to GrowthBook's timestamp column) */"
"src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts:21:  /** Experiment tracking key (maps to GrowthBook's experiment_id column) */"
"src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\types\generated\events_mono\growthbook\v1\growthbook_experiment_event.ts:23:  /** Variation index: 0=control, 1+=variants (maps to GrowthBook's variation_id column) */"
"src\utils\config.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\utils\config.ts:461:  cachedGrowthBookFeatures?: { [featureName: string]: unknown }"
"src\utils\config.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\utils\config.ts:631:    cachedGrowthBookFeatures: {},"
"src\tools\BashTool\bashPermissions.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\tools\BashTool\bashPermissions.ts:500:  'GROWTHBOOK_API_KEY', // self-hosted growthbook"
"src\services\analytics\sinkKillswitch.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\services\analytics\sinkKillswitch.ts:15: * featureFlags.ts:isGrowthBookEnabled() calls that, so a lookup here would recurse."
"src\services\analytics\firstPartyEventLoggingExporter.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\services\analytics\firstPartyEventLoggingExporter.ts:16:import { GrowthbookExperimentEvent } from '../../types/generated/events_mono/growthbook/v1/growthbook_experiment_event.js'"
"src\services\analytics\firstPartyEventLoggingExporter.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\services\analytics\firstPartyEventLoggingExporter.ts:544:      // timer keeps ticking and will resume POSTs as soon as the GrowthBook"
"src\services\analytics\firstPartyEventLoggingExporter.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\services\analytics\firstPartyEventLoggingExporter.ts:654:      // Check if this is a GrowthBook experiment event"
"src\services\analytics\firstPartyEventLogger.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\services\analytics\firstPartyEventLogger.ts:40: * Get the event sampling configuration from GrowthBook."
"src\services\analytics\firstPartyEventLogger.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\services\analytics\firstPartyEventLogger.ts:109:// needed when GrowthBook refreshes."
"src\services\analytics\firstPartyEventLogger.ts","True","1","p1-product-specific-signal-GrowthBook","P1","Feature Flags Owner","callers use featureFlags owner; vendor name allowed only in implementation/generated/test/environment evidence","src\services\analytics\firstPartyEventLogger.ts:233: * GrowthBook experiment event data for logging"
