mechanism,dsxu_owner,expected_benefit,performance_risk,quality_risk,hard_controls,required_measurement,execution_decision
cache-first-loop,"Query loop / DeepSeek route-cost-cache","Lower repeated input tokens, better DeepSeek prefix cache reuse, lower warm-turn latency and cost.","Extra hashing/bookkeeping; stale prefix invalidation checks can add small CPU overhead.","Over-optimizing cache can omit fresh source truth.","Stable-prefix hash, drift reason, source-truth freshness guard, dynamic-tail boundary.","cacheHitRatePct trend, input token delta, stable prefix drift count, source-truth miss count.","P0 absorb into existing owner; do not create CacheFirstLoop runtime."
tool-result-budget,"Tool Gate / toolResultStorage / final report","Lower prompt bloat, lower TUI render cost, lower memory pressure, fewer cache-prefix breaks.","Artifact IO and preview generation overhead.","Preview too small can hide needed facts.","Artifact path, bounded preview, range reread fallback, evidence link in final report.","toolResultChars, artifact bytes, preview chars, reread count, failed verification caused by missing context.","P0 absorb and test across Read/Bash/PowerShell/MCP/Agent."
tool-call-repair,"DeepSeek adapter / Tool schema","Fewer failed tool turns, fewer retry loops, better DeepSeek tool-call reliability.","Repair parsing adds CPU and can add one retry turn when capped incorrectly.","Bad repair can execute wrong tool/args.","Max repair pass count, schema validation, identical-call storm breaker, visible repair evidence.","repair pass count, repaired/failed ratio, duplicate tool storm count, latency per repaired turn.","P0 absorb into adapter; no second tool runtime."
failure-signal-pro-admission,"DeepSeek route/cost/cache owner","Pro used only when Flash failure signals justify it; quality up without default cost explosion.","Signal collection overhead is tiny; over-triggering raises cost and latency.","False positives can waste Pro calls; false negatives can leave quality low.","Admission ledger, route reason, deny default Pro, post-run cost-quality board.","Pro admission count, cost delta, pass-after-escalation rate, false escalation review.","P0 absorb; default remains Flash."
parallel-safe-dispatch,"Query loop / tool dispatch / Tool metadata","Lower wall-clock for independent read-only tools, better long-task responsiveness.","Concurrent FS/search can saturate IO; ordering bugs can hurt cache/log determinism.","Parallel writes or unsafe tools could corrupt state.","Only consecutive read-only/concurrencySafe calls, serial barrier for writes, deterministic result order.","wall-clock delta, IO wait, result order check, write-tool parallelization violations.","P0/P1 absorb carefully; never parallelize side-effect tools."
visible-work-state-projection,"work-state timeline / TUI / CLI / final report","User sees route/cost/cache/tool/permission/failure status; better trust and debuggability.","Too many events can slow TUI, worsen resize/scroll, or spam logs.","UI state can drift from actual execution if not same-source.","Single event source, throttled rendering, bounded operator summary, resize/scroll harness.","render latency, event count, resize regression, state drift checks, user-visible artifact links.","P0 absorb as projection only; no new UI stream."
context-recovery-append-only,"Context / recovery / compact","Better long-task recovery and source continuity; less transcript re-ingestion.","Disk/log growth, compact CPU, memory retention.","Old summary can override fresh source truth.","Append-only summaries, freshness expiry, source hash check, retention policy.","session log size, compact duration, resume success, stale evidence blocks.","P1 absorb through compact/recovery owner."
agent-evidence-envelope,"Agent lifecycle / work-state","Parent gets concise summary/path/hash/evidence instead of transcript bloat.","Envelope generation overhead; artifact IO.","Too little detail can hide worker mistakes.","Required worker scope, test evidence, artifact path, parent verifier rejection on partial evidence.","parent token delta, worker evidence completeness, unresolved risk count.","P1 absorb; no new agent runtime."
mcp-skill-capability-negotiation,"MCP / Skill registry","Safer ecosystem intake and fewer surprise permissions/costs.","Preflight latency for server/tool enumeration.","Overly broad negotiation can block useful tools.","Capability cache, permission boundary, version/fallback evidence, no standalone runtime.","MCP startup time, failed preflight count, permission denials, registry conflict count.","P1 absorb as registry evidence only."
benchmark-evidence-pattern,"Evidence / release claim binder","Reasonix benchmark files teach same-task raw transcript, cost, diff, and scoring package discipline.","Benchmark harness can be slow and IO-heavy.","Using their result as DSXU claim would be false.","Use method pattern only; DSXU must rerun own same-task raw evidence.","raw transcript count, scoring reproducibility, cost file, failure recovery chain.","P1 use as method; not product result claim."
native-startup-performance,"Runtime health / startup profile","Native/Rust/heap-limit ideas can inspire startup profiling and memory guard.","Native dependency adds packaging complexity and cross-platform risk.","New native layer can break open-source installability.","Prefer JS/Bun profiling first; native only after measured bottleneck.","startup time, heap RSS, cold install smoke, Windows/macOS/Linux parity.","P2 review only; do not add native layer now."
dashboard-telemetry,"work-state / evidence / telemetry","Better performance diagnosis and GitHub evidence story.","High-cardinality logging can slow TUI and grow files.","Telemetry can leak secrets or become marketing-only.","Redaction, sampling, opt-in/export boundary, artifact retention.","event write rate, log size, secret scan, telemetry off-mode smoke.","P1 absorb only through evidence owner."
