"id","scope","loop","owner","claudeFileHits","dsxuFileHits","signalStatus","acceptanceStatus","requiredEvidence"
"P01","primary-loop","Goal / Intent / Session Loop","Query Loop","978","1413","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","same-window topic replay and long-task goal retention transcript"
"P02","primary-loop","Visible Work-State Loop","UI/TUI Work-State","1079","1490","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","TUI/CLI/stream-json timeline with goal, tool, permission, failure, cost, next action"
"P03","primary-loop","Tool Lifecycle Loop","Tool Gate","1292","1900","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","strict schema, permission, execution, result pairing evidence pack"
"P04","primary-loop","Permission / Safety Loop","Permission Gate","762","1153","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","permission replay including denial recovery across shell, edit, MCP, browser, agent"
"P05","primary-loop","Source Truth / Coding Loop","Coding Workflow","1597","2042","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real read/patch/diff/test/final report task trace"
"P06","primary-loop","Plan / Todo / Task Loop","Task State","914","1434","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","task timeline proving completion only after tool/test evidence"
"P07","primary-loop","Agent Delegation Loop","Agent Lifecycle","620","782","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","serial/parallel worker replay and parent synthesis evidence references"
"P08","primary-loop","Context / Memory / Compact Loop","Context Recovery","1118","1612","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","45-minute resume replay with source-truth reread"
"P09","primary-loop","Failure / Recovery Loop","Recovery","1042","1589","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","named failure taxonomy and recovery transcript"
"P10","primary-loop","Model / Cost / Cache Loop","DeepSeek Model Router","1096","1485","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","DeepSeek route trace, cache hit/miss, task cost ROI"
"P11","primary-loop","MCP / Skill / Plugin Loop","MCP/Skill Registry","774","891","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","MCP intake, skill selection, doctor, secret redaction"
"P12","primary-loop","IDE / Remote / API Loop","IDE/API Bridge","1324","1810","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","IDE bridge smoke with diff, permission, timeline"
"P13","primary-loop","Browser / External Action Loop","External Tool Provider","645","1062","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","browser task transcript with permission and evidence"
"P14","primary-loop","Telemetry / Evidence / Report Loop","Evidence","577","978","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","PASS/PARTIAL/FAIL metrics, trace, risk, cost"
"P15","primary-loop","Release / Doctor / Install Loop","Release","1902","2411","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","clean export and fresh install smoke"
"S01","secondary-loop","user intent and task boundary","Query Loop","729","1072","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S02","secondary-loop","repository orientation","Source Truth","552","793","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S03","secondary-loop","real import/use evidence","Owner/Git Evidence","1902","2650","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S04","secondary-loop","active plan state","Task State","906","1329","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S05","secondary-loop","todo verified before complete","Task State","603","1103","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S06","secondary-loop","file localization and edit boundary","Coding Workflow","1120","1584","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S07","secondary-loop","diff risk explanation","Coding Workflow","453","632","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S08","secondary-loop","tool schema selection","Tool Gate","928","1383","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S09","secondary-loop","strict tool parameter validation","Tool Gate","557","828","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S10","secondary-loop","Bash/PowerShell lifecycle","Shell Adapter","625","981","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S11","secondary-loop","write permission chain","Permission Gate","1016","1457","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S12","secondary-loop","destructive command guard","Permission Gate","739","983","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S13","secondary-loop","MCP server intake","MCP Registry","727","851","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
