"id","loop","owner","referenceFileHits","dsxuFileHits","status","requiredEvidence"
"1","user intent and task boundary","Query Loop","729","1079","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"2","repository orientation","Source Truth","552","811","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"3","real import/use evidence","Owner/Git Evidence","1902","2668","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"4","active plan state","Task State","906","1344","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"5","todo verified before complete","Task State","603","1118","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"6","file localization and edit boundary","Coding Workflow","1120","1601","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"7","diff risk explanation","Coding Workflow","453","643","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"8","tool schema selection","Tool Gate","928","1398","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"9","strict tool parameter validation","Tool Gate","557","835","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"10","Bash/PowerShell lifecycle","Shell Adapter","625","996","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"11","write permission chain","Permission Gate","1016","1472","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"12","destructive command guard","Permission Gate","739","990","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"13","MCP server intake","MCP Registry","727","860","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"14","skill and command intake","Skill Registry","1039","1433","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"15","browser and external action","External Provider","477","566","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"16","IDE/API entry","IDE/API Bridge","1324","1824","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"17","agent ownership boundary","Agent Lifecycle","696","962","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"18","agent evidence synthesis","Agent Lifecycle","864","1467","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"19","parallel cancel and recovery","Agent Lifecycle","709","1135","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"20","context compact","Context Recovery","885","1348","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"21","resume source reread","Context Recovery","1117","1113","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"22","failure classification","Recovery","919","1469","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"23","test failure repair path","Coding Workflow","988","1619","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"24","provider retry/escalation","Model Router","1582","2267","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"25","thinking trajectory return","DeepSeek Runtime","161","263","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"26","FIM edit lane","DeepSeek Runtime","118","189","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"27","cache/prefix ROI","DeepSeek Runtime","1227","1528","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"28","cost visibility","Cost Evidence","523","790","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"29","progress visibility","Work-State","667","996","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"30","UI/TUI input experience","UI/TUI","1389","2009","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"31","final answer evidence","Evidence","441","942","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"32","telemetry and report","Evidence","267","594","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"33","public challenge packaging","Product Data","634","785","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"34","performance and experience data","Product Data","773","919","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"35","license/IP/brand guard","Commercial/IP","61","80","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
"36","release/install/doctor","Release","1902","2424","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real DSXU behavior evidence, not owner-disposition or signal count"
