"path","line","category","severity","disposition","ownerGuess","requiredAction","excerpt"
"src\cli\print.ts","1161","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO: Clean up this code to avoid passing around a mutable array."
"src\cli\print.ts","1911","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO(custom-tool-refactor): Should move to the init message, like browser"
"src\commands\mcp\mcp.tsx","10","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO: This is a hack to get the context value from toggleMcpServer (useContext only works in a component)"
"src\commands\mcp\xaaIdpCommand.ts","153","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO(paulc): read the JWT from stdin instead of argv to keep it out of"
"src\commands\plugin\BrowseMarketplace.tsx","682","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO: Actually scan local plugin directories to show real components"
"src\commands\ultraplan.tsx","19","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO(prod-hardening): OAuth token may go stale over the 30min poll;"
"src\commands\ultraplan.tsx","363","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO(#23985): replace registerRemoteAgentTask + startDetachedPoll with"
"src\components\Message.tsx","35","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Find a way to remove this, and leave spacing to the consumer"
"src\components\permissions\ExitPlanModePermissionRequest\ExitPlanModePermissionRequest.tsx","183","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Delete the branch after moving to V2"
"src\components\permissions\PermissionRequest.tsx","145","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Move this to Tool.renderPermissionRequest"
