path,kind,capability,primaryLabel,labels,defaultMainline,appRuntime,cliScript,testContract,docEvidence,experiment,frozen,historicalResidue,importedByCount,referencedByScriptsCount,referencedByTestsCount,referencedByDocsCount,recommendation,reasons
README.md,source,core-or-unclear,unclassified,,false,false,false,false,false,false,false,false,0,0,0,0,未归类或弱证据；需要 owner 判断是否保留、接入、冻结或删除。,
bin/dsxu-code,bin,core-or-unclear,cli-script,cli-script; test-contract,false,false,true,true,false,false,false,false,0,4,1,9,保留为测试合同；若声称产品能力，必须补默认链可达性证据。,script path or referenced by package/script evidence; test path or referenced by tests
bin/dsxu-code-wsl-launch,bin,core-or-unclear,test-contract,test-contract,false,false,false,true,false,false,false,false,0,0,1,4,保留为测试合同；若声称产品能力，必须补默认链可达性证据。,test path or referenced by tests
bunfig.toml,config,core-or-unclear,unclassified,,false,false,false,false,false,false,false,false,0,0,0,0,未归类或弱证据；需要 owner 判断是否保留、接入、冻结或删除。,
docs/BENCHMARK.md,document,documentation,test-contract,test-contract; doc-evidence,false,false,false,true,true,false,false,false,0,0,3,16,保留为测试合同；若声称产品能力，必须补默认链可达性证据。,test path or referenced by tests; docs path or referenced by docs/generated evidence
docs/CONFIGURATION.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/CONTRIBUTING.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,13,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DEEPSEEK_V4_CAPABILITIES.md,document,documentation,test-contract,test-contract; doc-evidence; historical-residue,false,false,false,true,true,false,false,true,0,0,1,17,保留为测试合同；若声称产品能力，必须补默认链可达性证据。,test path or referenced by tests; docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DOCTOR_HEALTH.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_AGENT_MCP_SKILL_BOUNDARY_ACCEPTANCE_20260516.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_ARCHIVE_WATCHLIST_20260519.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,2,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_BLOCKED_CLAIM_CORPUS_20260517.md,document,documentation,doc-evidence,doc-evidence; frozen,false,false,false,false,true,false,true,false,0,0,0,18,冻结或发布治理资产；默认链不要引入，除非有明确 owner 和验收。,docs path or referenced by docs/generated evidence; freeze/disabled/release-governance naming signal
docs/DSXU_BRAND_COMPAT_RISK_BOARD_20260517.md,document,documentation,test-contract,test-contract; doc-evidence; historical-residue,false,false,false,true,true,false,false,true,0,0,1,17,保留为测试合同；若声称产品能力，必须补默认链可达性证据。,test path or referenced by tests; docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_CAPABILITY_ACCEPTANCE_AUDIT_20260516.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_CAPABILITY_COST_CROSSWALK_20260516.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,14,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,11,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_CLAIM_BOUNDARY_GATE_20260519.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,2,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_COMMAND_CATALOG_20260518.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_DAG_OWNER_REVIEW_20260517.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,21,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_DEEPSEEK_COST_QUALITY_ACCEPTANCE_20260516.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_DELETE_REVIEW_BOARD_20260519.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,2,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,11,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_DOC_SIGNAL_EXTRACTION_20260519.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,2,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_EXTERNAL_BENCHMARK_ADAPTER_PROOF_20260516.md,document,documentation,doc-evidence,doc-evidence; experiment,false,false,false,false,true,true,false,false,0,0,0,16,实验能力；需要显式开关、证据等级和退出条件。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal
docs/DSXU_HARD_ENGINEERING_BENCHMARK_20260517.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_HARD_ENGINEERING_BENCHMARK_20260517_deepseek-route-cost-cache-visible-product-timeline-release-claim-evidence-binder.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,3,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_HARD_ENGINEERING_BENCHMARK_20260517_deepseek-route-cost-cache.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,13,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_HARD_ENGINEERING_BENCHMARK_20260517_release-claim-evidence-binder.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_KARPATHY_SKILLS_ABSORPTION_PLAN_20260517.md,document,documentation,doc-evidence,doc-evidence; experiment; historical-residue,false,false,false,false,true,true,false,true,0,0,0,16,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal; versioned/reference/absorption/legacy naming signal
docs/DSXU_LEGACY_SWE_OWNER_REVIEW_20260517.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,23,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_OPTIMIZATION_FOR_CODEX_20260517.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,22,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_PIPELINE_SUPPORT_OWNER_REVIEW_20260517.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,17,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,2,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_PUBLIC_CHALLENGE_ABLATION_ACCEPTANCE_20260516.md,document,documentation,doc-evidence,doc-evidence; experiment,false,false,false,false,true,true,false,false,0,0,0,15,实验能力；需要显式开关、证据等级和退出条件。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal
docs/DSXU_PUBLIC_COMPARABLE_BENCHMARK_MANIFEST_20260518.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,15,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_RAW_API_VS_DSXU_AB_20260516.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,13,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_REASONIX_COMPARATIVE_CODE_AUDIT_20260517.md,document,documentation,test-contract,test-contract; doc-evidence; experiment,false,false,false,true,true,true,false,false,0,0,1,18,保留为测试合同；若声称产品能力，必须补默认链可达性证据。,test path or referenced by tests; docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal
docs/DSXU_REASONIX_DEEPSEEK_ABSORPTION_GATE_20260517.md,document,documentation,doc-evidence,doc-evidence; experiment; historical-residue,false,false,false,false,true,true,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal; versioned/reference/absorption/legacy naming signal
docs/DSXU_REFERENCE_MECHANISM_AUDIT_20260516.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,16,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_REFERENCE_SCENARIO_BACKLOG_20260516.md,document,documentation,doc-evidence,doc-evidence; experiment; historical-residue,false,false,false,false,true,true,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal; versioned/reference/absorption/legacy naming signal
docs/DSXU_REFERENCE_SCENARIO_CONVERGENCE_20260516.md,document,documentation,doc-evidence,doc-evidence; experiment; historical-residue,false,false,false,false,true,true,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal; versioned/reference/absorption/legacy naming signal
docs/DSXU_ROOT_TDD_OWNER_REVIEW_20260517.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,14,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_RUNTIME_REACHABILITY_MAP_20260519.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,2,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md,document,documentation,doc-evidence,doc-evidence; experiment,false,false,false,false,true,true,false,false,0,0,0,2,实验能力；需要显式开关、证据等级和退出条件。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal
