"id","loop","owner","referenceFileHits","dsxuFileHits","status","requiredEvidence"
"1","Goal / Intent / Session Loop","Query Loop","978","1422","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","same-window topic replay and long-task goal retention transcript"
"2","Visible Work-State Loop","UI/TUI Work-State","1079","1505","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","TUI/CLI/stream-json timeline with goal, tool, permission, failure, cost, next action"
"3","Tool Lifecycle Loop","Tool Gate","1292","1916","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","strict schema, permission, execution, result pairing evidence pack"
"4","Permission / Safety Loop","Permission Gate","762","1169","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","permission replay including denial recovery across shell, edit, MCP, browser, agent"
"5","Source Truth / Coding Loop","Coding Workflow","1597","2063","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","real read/patch/diff/test/final report task trace"
"6","Plan / Todo / Task Loop","Task State","914","1452","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","task timeline proving completion only after tool/test evidence"
"7","Agent Delegation Loop","Agent Lifecycle","620","789","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","serial/parallel worker replay and parent synthesis evidence references"
"8","Context / Memory / Compact Loop","Context Recovery","1118","1622","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","45-minute resume replay with source-truth reread"
"9","Failure / Recovery Loop","Recovery","1042","1597","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","named failure taxonomy and recovery transcript"
"10","Model / Cost / Cache Loop","DeepSeek Model Router","1096","1495","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","DeepSeek route trace, cache hit/miss, task cost ROI"
"11","MCP / Skill / Plugin Loop","MCP/Skill Registry","774","901","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","MCP intake, skill selection, doctor, secret redaction"
"12","IDE / Remote / API Loop","IDE/API Bridge","1324","1824","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","IDE bridge smoke with diff, permission, timeline"
"13","Browser / External Action Loop","External Tool Provider","645","1070","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","browser task transcript with permission and evidence"
"14","Telemetry / Evidence / Report Loop","Evidence","577","994","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","PASS/PARTIAL/FAIL metrics, trace, risk, cost"
"15","Release / Doctor / Install Loop","Release","1902","2425","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","clean export and fresh install smoke"
