"path","lines","owner","reasonixMechanism","status","staticRisks","recommendedAction"
"bin/dsxu-code","45","Baseline product/runtime support owner","deepseek-route-cost-control","implemented-or-integrated-mainline","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"bin/dsxu-code-wsl-launch","68","Baseline product/runtime support owner","deepseek-route-cost-control;visible-work-state","implemented-or-integrated-mainline","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/benchmark/dsxu-mainline-benchmark.ts","794","Evidence / benchmark owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-acl-residue-closure-plan.ts","117","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-acl-residue-preflight.ts","270","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;visible-work-state","test-or-evidence-support","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-agent-mcp-skill-boundary-acceptance.ts","245","Evidence / benchmark / DSXU engine owner","deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;permission-tool-gate;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-blocked-claim-corpus.ts","243","Evidence / benchmark / DSXU engine owner","evidence-release-claim;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-brand-compat-risk-board.ts","127","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-cache-warm.ts","59","Evidence / benchmark / DSXU engine owner","deepseek-route-cost-control","test-or-evidence-support","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-capability-acceptance-audit.ts","624","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-capability-cost-crosswalk.ts","354","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-clean-export-preflight.ts","108","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
