"claudePath","dsxuPath","c2Action","ownerFamily","primarySignal","finalOwnerPacket","gitStatus","existsInDsxu","finalDecision","closureState","source","requiredAction"
"assistant/sessionHistory.ts","src/assistant/sessionHistory.ts","adapt_or_exclude_product_specific","model_cost_context","coding_workflow","V20-OGR-07-provider-migration-model-cost","tracked-or-baseline","yes","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","c2-full-audit-owner-family-map","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful"
"bootstrap/state.ts","src/bootstrap/state.ts","adapt_or_exclude_product_specific","unclassified_support","coding_workflow","V20-OGR-09-dsxu-engine-mainline","M","yes","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","c2-full-audit-owner-family-map","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful"
"bridge/bridgeApi.ts","src/bridge/bridgeApi.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-04-mcp-skill-plugin-registry","not-present","no","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","c2-full-audit-owner-family-map","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful"
"bridge/bridgeConfig.ts","src/bridge/bridgeConfig.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-04-mcp-skill-plugin-registry","not-present","no","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","c2-full-audit-owner-family-map","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful"
"bridge/bridgeDebug.ts","src/bridge/bridgeDebug.ts","absorb_into_dsxu_mainline","mcp_skill_plugin","coding_workflow","V20-OGR-04-mcp-skill-plugin-registry","not-present","no","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","c2-full-audit-owner-family-map","keep under named DSXU owner; no Claude/source side runtime or duplicate entry"
"bridge/bridgeEnabled.ts","src/bridge/bridgeEnabled.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-04-mcp-skill-plugin-registry","not-present","no","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","c2-full-audit-owner-family-map","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful"
"bridge/bridgeMain.ts","src/bridge/bridgeMain.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-04-mcp-skill-plugin-registry","not-present","no","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","c2-full-audit-owner-family-map","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful"
"bridge/bridgeMessaging.ts","src/bridge/bridgeMessaging.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-04-mcp-skill-plugin-registry","not-present","no","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","c2-full-audit-owner-family-map","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful"
"bridge/bridgePermissionCallbacks.ts","src/bridge/bridgePermissionCallbacks.ts","absorb_into_dsxu_mainline","permission_gate","permission_safety","V20-OGR-03-tool-permission-lifecycle","not-present","no","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","c2-full-audit-owner-family-map","keep under named DSXU owner; no Claude/source side runtime or duplicate entry"
"bridge/bridgePointer.ts","src/bridge/bridgePointer.ts","absorb_into_dsxu_mainline","mcp_skill_plugin","coding_workflow","V20-OGR-04-mcp-skill-plugin-registry","not-present","no","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","c2-full-audit-owner-family-map","keep under named DSXU owner; no Claude/source side runtime or duplicate entry"
