path,primaryLabel,capability,kind,owner,action,defaultMainline,exposure,claimAllowed,modelPromptAllowed,reason
bunfig.toml,unclassified,core-or-unclear,config,Runtime Config / Release Surface,keep-release-surface,false,not-exposed,false,false,V6 Phase 0 assigns Runtime Config / Release Surface; action=keep-release-surface; cannot be used as product capability claim until owner review closes.
package.json,unclassified,core-or-unclear,config,Runtime Config / Release Surface,keep-release-surface,false,not-exposed,false,false,V6 Phase 0 assigns Runtime Config / Release Surface; action=keep-release-surface; cannot be used as product capability claim until owner review closes.
README.md,unclassified,core-or-unclear,source,Docs / Release Claim Binder,keep-release-surface,false,not-exposed,false,false,V6 Phase 0 assigns Docs / Release Claim Binder; action=keep-release-surface; cannot be used as product capability claim until owner review closes.
src/commands/bridge/bridge.tsx,unclassified,cli-command-surface,command-source,Runtime Service Owner,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Runtime Service Owner; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/components/ManagedSettingsSecurityDialog/ManagedSettingsSecurityDialog.tsx,unclassified,permission-safety,tui-source,Docs / Release Claim Binder,keep-release-surface,false,doc-only,false,false,V6 Phase 0 assigns Docs / Release Claim Binder; action=keep-release-surface; cannot be used as product capability claim until owner review closes.
src/components/ManagedSettingsSecurityDialog/utils.ts,unclassified,permission-safety,tui-source,Docs / Release Claim Binder,keep-release-surface,false,doc-only,false,false,V6 Phase 0 assigns Docs / Release Claim Binder; action=keep-release-surface; cannot be used as product capability claim until owner review closes.
src/coordinator/dag/persist.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/dag/templates.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/dag/types.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/roles/contract.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/roles/index.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/roles/message.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/roles/orchestrator.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/roles/README.md,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/roles/role-implementations.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/voting/clusterer.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/voting/contract.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/voting/similarity.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/coordinator/voting/voter.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/control-plane/controlJwt.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/control-plane/controlMain.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/control-plane/controlMessaging.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/control-plane/inboundControlMessages.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/control-plane/index.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/control-plane/operatorStateProjection.ts,unclassified,core-or-unclear,source,Owner Review Queue,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Owner Review Queue; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/cost/index.ts,unclassified,provider-model-cost-cache,source,DeepSeek Provider / Cost Cache,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns DeepSeek Provider / Cost Cache; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/engine/accessibility-tree.ts,unclassified,core-or-unclear,dsxu-engine,Query Loop / Execution Contract,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Query Loop / Execution Contract; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/engine/adapters/file-edit-adapter.ts,unclassified,core-or-unclear,dsxu-engine,Query Loop / Execution Contract,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Query Loop / Execution Contract; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/engine/adr-review.ts,unclassified,core-or-unclear,dsxu-engine,Query Loop / Execution Contract,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Query Loop / Execution Contract; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/engine/analyzers/classification-analyzer.ts,unclassified,core-or-unclear,dsxu-engine,Query Loop / Execution Contract,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Query Loop / Execution Contract; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
src/dsxu/engine/analyzers/filtering-analyzer.ts,unclassified,core-or-unclear,dsxu-engine,Query Loop / Execution Contract,classify-before-claim,false,doc-only,false,false,V6 Phase 0 assigns Query Loop / Execution Contract; action=classify-before-claim; cannot be used as product capability claim until owner review closes.
