"c2Action","claudePath","dsxuPath","c2OwnerFamily","primarySignal","targetOwnerPacket","currentGitStatus","currentReviewState","signoffDecision"
"review_candidate","cli/exit.ts","src/cli/exit.ts","unclassified_support","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","cli/handlers/autoMode.ts","src/cli/handlers/autoMode.ts","unclassified_support","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","cli/ndjsonSafeStringify.ts","src/cli/ndjsonSafeStringify.ts","unclassified_support","permission_safety","V20-OGR-08-cli-command-transport","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","cli/transports/HybridTransport.ts","src/cli/transports/HybridTransport.ts","unclassified_support","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","cli/transports/SerialBatchEventUploader.ts","src/cli/transports/SerialBatchEventUploader.ts","unclassified_support","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_absorb_as_shared_utility_only_if_imported","cli/transports/transportUtils.ts","src/cli/transports/transportUtils.ts","support_util","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_candidate","cli/transports/WebSocketTransport.ts","src/cli/transports/WebSocketTransport.ts","unclassified_support","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","cli/transports/WorkerStateUploader.ts","src/cli/transports/WorkerStateUploader.ts","unclassified_support","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_absorb_as_shared_utility_only_if_imported","constants/common.ts","src/constants/common.ts","support_util","tool_runtime","V20-OGR-07-provider-migration-model-cost","not-in-current-git-status","c2-owner-review-only","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/cyberRiskInstruction.ts","src/constants/cyberRiskInstruction.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/errorIds.ts","src/constants/errorIds.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/files.ts","src/constants/files.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","not-in-current-git-status","c2-owner-review-only","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/outputStyles.ts","src/constants/outputStyles.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/spinnerVerbs.ts","src/constants/spinnerVerbs.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/systemPromptSections.ts","src/constants/systemPromptSections.ts","support_util","coding_workflow","V20-OGR-07-provider-migration-model-cost","not-in-current-git-status","c2-owner-review-only","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/turnCompletionVerbs.ts","src/constants/turnCompletionVerbs.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","constants/xml.ts","src/constants/xml.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","entrypoints/sdk/controlSchemas.ts","src/entrypoints/sdk/controlSchemas.ts","support_util","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","entrypoints/sdk/coreTypes.ts","src/entrypoints/sdk/coreTypes.ts","support_util","coding_workflow","V20-OGR-08-cli-command-transport","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/migrateAutoUpdatesToSettings.ts","src/migrations/migrateAutoUpdatesToSettings.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/migrateFennecToOpus.ts","src/migrations/migrateFennecToOpus.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/migrateLegacyOpusToCurrent.ts","src/migrations/migrateLegacyOpusToCurrent.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/migrateOpusToOpus1m.ts","src/migrations/migrateOpusToOpus1m.ts","support_util","coding_workflow","V20-OGR-07-provider-migration-model-cost","not-in-current-git-status","c2-owner-review-only","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/migrateSonnet1mToSonnet45.ts","src/migrations/migrateSonnet1mToSonnet45.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/migrateSonnet45ToSonnet46.ts","src/migrations/migrateSonnet45ToSonnet46.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/resetAutoModeOptInForDefaultOffer.ts","src/migrations/resetAutoModeOptInForDefaultOffer.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","migrations/resetProToOpusDefault.ts","src/migrations/resetProToOpusDefault.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_candidate","moreright/useMoreRight.tsx","src/moreright/useMoreRight.tsx","unclassified_support","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_absorb_as_shared_utility_only_if_imported","native-ts/file-index/index.ts","src/native-ts/file-index/index.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","native-ts/yoga-layout/enums.ts","src/native-ts/yoga-layout/enums.ts","support_util","ui_interaction","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_absorb_as_shared_utility_only_if_imported","native-ts/yoga-layout/index.ts","src/native-ts/yoga-layout/index.ts","support_util","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_candidate","outputStyles/loadOutputStylesDir.ts","src/outputStyles/loadOutputStylesDir.ts","unclassified_support","memory_context","V20-OGR-13-other-source-owner-review","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","projectOnboardingState.ts","src/projectOnboardingState.ts","unclassified_support","memory_context","V20-OGR-13-other-source-owner-review","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","query/deps.ts","src/query/deps.ts","unclassified_support","coding_workflow","V20-OGR-13-other-source-owner-review","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","replLauncher.tsx","src/replLauncher.tsx","unclassified_support","coding_workflow","V20-OGR-08-cli-command-transport","not-in-current-git-status","c2-owner-review-only","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","services/analytics/index.ts","src/services/analytics/index.ts","unclassified_support","coding_workflow","V20-OGR-06-ui-tui-visible-state","not-in-current-git-status","c2-owner-review-only","adapt_or_exclude_product_specific_after_owner_review"
"review_candidate","services/api/adminRequests.ts","src/services/api/adminRequests.ts","unclassified_support","coding_workflow","V20-OGR-07-provider-migration-model-cost","M","high-risk-owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","services/api/emptyUsage.ts","src/services/api/emptyUsage.ts","unclassified_support","coding_workflow","V20-OGR-07-provider-migration-model-cost","M","high-risk-owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","services/api/sessionIngress.ts","src/services/api/sessionIngress.ts","unclassified_support","coding_workflow","V20-OGR-07-provider-migration-model-cost","M","high-risk-owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","services/autoDream/consolidationLock.ts","src/services/autoDream/consolidationLock.ts","unclassified_support","coding_workflow","V20-OGR-12-shared-platform-utilities","M","owner-review-required","adapt_or_exclude_product_specific_after_owner_review"
"review_candidate","services/autoDream/consolidationPrompt.ts","src/services/autoDream/consolidationPrompt.ts","unclassified_support","coding_workflow","V20-OGR-12-shared-platform-utilities","M","owner-review-required","adapt_or_exclude_product_specific_after_owner_review"
"review_candidate","services/extractMemories/prompts.ts","src/services/extractMemories/prompts.ts","unclassified_support","coding_workflow","V20-OGR-12-shared-platform-utilities","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","services/internalLogging.ts","src/services/internalLogging.ts","unclassified_support","coding_workflow","V20-OGR-12-shared-platform-utilities","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_candidate","services/MagicDocs/magicDocs.ts","src/services/MagicDocs/magicDocs.ts","unclassified_support","coding_workflow","V20-OGR-12-shared-platform-utilities","M","owner-review-required","adapt_or_exclude_product_specific_after_owner_review"
"review_candidate","services/MagicDocs/prompts.ts","src/services/MagicDocs/prompts.ts","unclassified_support","coding_workflow","V20-OGR-12-shared-platform-utilities","M","owner-review-required","adapt_or_exclude_product_specific_after_owner_review"
"review_candidate","services/notifier.ts","src/services/notifier.ts","unclassified_support","coding_workflow","V20-OGR-12-shared-platform-utilities","M","owner-review-required","map_to_named_dsxu_owner_for_absorption_review"
"review_absorb_as_shared_utility_only_if_imported","services/policyLimits/types.ts","src/services/policyLimits/types.ts","support_util","permission_safety","V20-OGR-12-shared-platform-utilities","M","owner-review-required","retain_only_if_dsxu_mainline_imported_else_replace_delete_candidate"
"review_candidate","services/preventSleep.ts","src/services/preventSleep.ts","unclassified_support","coding_workflow","V20-OGR-06-ui-tui-visible-state","not-in-current-git-status","c2-owner-review-only","map_to_named_dsxu_owner_for_absorption_review"
