"family","label","referenceFiles","topReferenceExamples","dsxuOwner","dsxuFilesFound","testsFound","liveEvidenceFound","implementationDecision","githubClaim"
"goal-plan-query-loop","Goal / Plan / Query Loop","573","bootstrap/state.ts; bridge/initReplBridge.ts; bridge/replBridge.ts; bridge/replBridgeHandle.ts; bridge/replBridgeTransport.ts; buddy/companion.ts; buddy/CompanionSprite.tsx; buddy/prompt.ts","DSXU Query Loop / Entry Composition","5/5","3/3","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"visible-work-state","Senior Visible Work-State","559","bridge/bridgeStatusUtil.ts; bridge/inboundMessages.ts; commands/hooks/hooks.tsx; commands/hooks/index.ts; commands/status/index.ts; commands/status/status.tsx; commands/statusline.tsx; commands/thinkback-play/index.ts","UI/TUI Visible Work-State Projection","6/6","4/4","2/2","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"tool-permission-lifecycle","Tool / Permission Lifecycle","369","bridge/bridgePermissionCallbacks.ts; commands/debug-tool-call/index.js; commands/permissions/index.ts; commands/permissions/permissions.tsx; commands/sandbox-toggle/index.ts; commands/sandbox-toggle/sandbox-toggle.tsx; components/agents/new-agent-creation/wizard-steps/ToolsStep.tsx; components/agents/ToolSelector.tsx","Tool Gate / Permission Gate","6/6","4/4","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"source-truth-repair","Source Truth Repair Loop","149","commands/diff/diff.tsx; commands/diff/index.ts; commands/files/files.ts; commands/files/index.ts; commands/install-github-app/ApiKeyStep.tsx; commands/install-github-app/CheckExistingSecretStep.tsx; commands/install-github-app/CheckGitHubStep.tsx; commands/install-github-app/ChooseRepoStep.tsx","Source Truth / Coding Repair","6/6","3/3","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"terminal-shell-reliability","Terminal / Shell Reliability","134","commands/terminalSetup/index.ts; commands/terminalSetup/terminalSetup.tsx; components/BashModeProgress.tsx; components/messages/UserBashInputMessage.tsx; components/messages/UserBashOutputMessage.tsx; components/permissions/BashPermissionRequest/BashPermissionRequest.tsx; components/permissions/BashPermissionRequest/bashToolUseOptions.tsx; components/permissions/PowerShellPermissionRequest/PowerShellPermissionRequest.tsx","Terminal Tool Adapter / Result Pack","4/4","3/3","1/1","needs stronger live evidence","roadmap or internal evidence only; do not claim public parity"
"context-memory-recovery","Context / Memory / Recovery","138","assistant/sessionHistory.ts; bridge/codeSessionApi.ts; bridge/createSession.ts; bridge/sessionIdCompat.ts; bridge/sessionRunner.ts; commands/backfill-sessions/index.js; commands/compact/compact.ts; commands/compact/index.ts","Context Builder / Recovery Mainline","5/5","4/4","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"agent-orchestration","Agent Orchestration / Parent Evidence","171","cli/handlers/agents.ts; cli/transports/WorkerStateUploader.ts; commands/agents/agents.tsx; commands/agents/index.ts; commands/tasks/index.ts; commands/tasks/tasks.tsx; components/AgentProgressLine.tsx; components/agents/AgentDetail.tsx","Agent Lifecycle","5/5","3/3","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"mcp-skill-ecosystem","MCP / Skill Ecosystem","191","cli/handlers/mcp.tsx; cli/handlers/plugins.ts; commands/createMovedToPluginCommand.ts; commands/mcp/addCommand.ts; commands/mcp/index.ts; commands/mcp/mcp.tsx; commands/mcp/xaaIdpCommand.ts; commands/plugin/AddMarketplace.tsx","MCP / Skill Registry","6/6","4/4","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"model-cost-cache","DeepSeek Model / Cost / Cache","123","bridge/bridgeApi.ts; bridge/codeSessionApi.ts; commands/break-cache/index.js; commands/clear/caches.ts; commands/cost/cost.ts; commands/cost/index.ts; commands/extra-usage/extra-usage-core.ts; commands/extra-usage/extra-usage-noninteractive.ts","DeepSeek Runtime / Cost Evidence","6/6","4/4","2/2","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"ide-remote-bridge","IDE / Remote / External Host Boundary","141","bridge/bridgeApi.ts; bridge/bridgeConfig.ts; bridge/bridgeDebug.ts; bridge/bridgeEnabled.ts; bridge/bridgeMain.ts; bridge/bridgeMessaging.ts; bridge/bridgePermissionCallbacks.ts; bridge/bridgePointer.ts","External Host Adapter Boundary","5/5","3/3","1/1","needs stronger live evidence","roadmap or internal evidence only; do not claim public parity"
"first-run-trust","First-Run Trust / Doctor","125","bridge/trustedDevice.ts; cli/handlers/auth.ts; commands/doctor/doctor.tsx; commands/doctor/index.ts; commands/install-github-app/ApiKeyStep.tsx; commands/install-github-app/OAuthFlowStep.tsx; commands/keybindings/index.ts; commands/keybindings/keybindings.ts","Install / Auth / Doctor","5/5","2/3","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
"telemetry-evidence-release","Telemetry / Evidence / Release Gate","125","commands/export/export.tsx; commands/export/index.ts; commands/feedback/feedback.tsx; commands/feedback/index.ts; commands/login/index.ts; commands/login/login.tsx; commands/logout/index.ts; commands/logout/logout.tsx","Evidence / Release","5/5","2/3","1/1","implemented+tested","claim DSXU-owned mechanism with evidence, not reference parity"
