"statusCode","path","ownerPacket","reviewState","recommendedAction"
"??","CHANGELOG.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","CODE_OF_CONDUCT.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/CONFIGURATION.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/CONTRIBUTING.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DOCTOR_HEALTH.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_100_POINT_ARCHITECTURE_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_CLAUDE_EXPERIENCE_DATA_AUDIT_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_CLAUDE_SRC_COMPARATIVE_ABSORPTION_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_FULL_CODE_INTEGRATION_ASSESSMENT_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_MAINLINE_OWNER_MAP_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_MASTER_PLAN_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_OGR02_DELETE_PACKET_SIGNOFF_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_OWNER_GAP_MATRIX_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_OWNER_GIT_REVIEW_EXECUTION_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_P0_SOURCE_CLEANUP_EXECUTION_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_P1_PRODUCT_SIGNAL_OWNER_CLEANUP_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/DSXU_V20_REAL_OPERATION_TEST_ACCEPTANCE_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/generated/","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/INSTALL.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/RELEASE_RUNBOOK.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/SECURITY_PERMISSION.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"??","docs/TOOL_SURFACE.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"M","README.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"M","scripts/benchmark/dsxu-mainline-benchmark.ts","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust"
"D","src/dsxu/engine/__tests__/audit-v10-3-strict-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/c02-prompt-stack-mainline-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/c03-querycontext-classifiers-mainline-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/clean-export-readiness-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/context-query-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/coordinator-lifecycle-v5-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/coordinator-mainline-v3-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/coordinator-mode-and-bridge-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/dirty-worktree-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/final-release-preflight-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/mainline-dirty-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/owner-git-import-use-evidence-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/owner-git-mainline-keep-review-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/owner-git-replace-delete-review-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/pending-deletion-owner-review-rollup-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/pending-deletion-release-excluded-archive-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/pending-deletion-review-lanes-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/pending-deletion-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/query-context-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/release-closure-board-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/skills-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/skills-prompt-stack-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/skills-selection-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/task-lifecycle-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/tool-evidence-pack-contract-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/tool-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/tool-runtime-dirty-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/v10-3x-core-runtime-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/v18-public-surface-clean-gate-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
"D","src/dsxu/engine/__tests__/v18-release-provenance-gate-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","ready-for-delete-signoff-after-owner-review","owner-git-signoff-before-staging-deletion"
