path,owner,decision,capability,kind,exposure,importedByCount,activeImportCount,docReferenceCount,testReferenceCount,scriptReferenceCount,claimAllowed,modelPromptAllowed,requiredNextAction,reason,evidence
src/commands/bridge/bridge.tsx,Runtime Service Owner,delete-review,cli-command-surface,command-source,doc-only,1,1,10,0,0,false,false,Enter owner/Git mutation review; delete only after replacement evidence and explicit approval.,Equivalent or retired behavior is already owned elsewhere; this path must not remain as a second runtime/entrypoint without owner/Git approval.,importedBy=1; activeImports=1; docRefs=10; testRefs=0; scriptRefs=0; activeImport:src/commands/bridge/index.ts; docRef:docs/DSXU_V18_V19_MERGED_AUDIT_20260510_CLEAN.md; docRef:docs/DSXU_V20_MAINLINE_OWNER_MAP_20260514.md
src/coordinator/dag/persist.ts,PlanGraph / Work-State Owner,delete-review,core-or-unclear,source,doc-only,1,0,10,0,0,false,false,Enter owner/Git mutation review; delete only after replacement evidence and explicit approval.,Equivalent or retired behavior is already owned elsewhere; this path must not remain as a second runtime/entrypoint without owner/Git approval.,importedBy=1; activeImports=0; docRefs=10; testRefs=0; scriptRefs=0; docRef:docs/DSXU_DAG_OWNER_REVIEW_20260517.md; docRef:docs/DSXU_V1_CORE_EXECUTION_PLAN_20260518.md
src/coordinator/dag/templates.ts,PlanGraph / Work-State Owner,delete-review,core-or-unclear,source,doc-only,2,0,10,0,0,false,false,Enter owner/Git mutation review; delete only after replacement evidence and explicit approval.,Equivalent or retired behavior is already owned elsewhere; this path must not remain as a second runtime/entrypoint without owner/Git approval.,importedBy=2; activeImports=0; docRefs=10; testRefs=0; scriptRefs=0; docRef:docs/DSXU_DAG_OWNER_REVIEW_20260517.md; docRef:docs/DSXU_V2_EXECUTION_PLAN_20260518_CN.md
src/coordinator/dag/types.ts,PlanGraph / Work-State Owner,delete-review,core-or-unclear,source,doc-only,5,0,8,0,0,false,false,Enter owner/Git mutation review; delete only after replacement evidence and explicit approval.,Equivalent or retired behavior is already owned elsewhere; this path must not remain as a second runtime/entrypoint without owner/Git approval.,importedBy=5; activeImports=0; docRefs=8; testRefs=0; scriptRefs=0; docRef:docs/DSXU_DAG_OWNER_REVIEW_20260517.md; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md
src/services/swe-bench/index.ts,Evidence / Eval SWE Owner,delete-review,core-or-unclear,service-source,doc-only,0,0,9,0,0,false,false,Enter owner/Git mutation review; delete only after replacement evidence and explicit approval.,Equivalent or retired behavior is already owned elsewhere; this path must not remain as a second runtime/entrypoint without owner/Git approval.,importedBy=0; activeImports=0; docRefs=9; testRefs=0; scriptRefs=0; docRef:docs/DSXU_LEGACY_SWE_OWNER_REVIEW_20260517.md; docRef:docs/DSXU_V26_MASTER_PLAN_20260515.md
src/services/swe-bench/types.ts,Evidence / Eval SWE Owner,delete-review,core-or-unclear,service-source,doc-only,2,2,9,0,0,false,false,Enter owner/Git mutation review; delete only after replacement evidence and explicit approval.,Equivalent or retired behavior is already owned elsewhere; this path must not remain as a second runtime/entrypoint without owner/Git approval.,importedBy=2; activeImports=2; docRefs=9; testRefs=0; scriptRefs=0; activeImport:src/services/swe-bench/index.ts; activeImport:src/services/swe-bench/runner.ts; docRef:docs/DSXU_LEGACY_SWE_OWNER_REVIEW_20260517.md; docRef:docs/DSXU_V26_MASTER_PLAN_20260515.md
src/coordinator/roles/contract.ts,Frozen Agent Role Evidence Owner,legacy,core-or-unclear,source,doc-only,4,4,6,0,0,false,false,Keep frozen outside default runtime; require explicit owner review before any default exposure.,This is retained as frozen legacy/research boundary and must not enter default runtime or product prompt.,importedBy=4; activeImports=4; docRefs=6; testRefs=0; scriptRefs=0; activeImport:src/coordinator/roles/index.ts; activeImport:src/coordinator/roles/message.ts; activeImport:src/coordinator/roles/orchestrator.ts; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md; docRef:docs/DSXU_V6_OWNER_REVIEW_DECISIONS_20260519.md
src/coordinator/roles/index.ts,Frozen Agent Role Evidence Owner,legacy,core-or-unclear,source,doc-only,1,0,6,0,0,false,false,Keep frozen outside default runtime; require explicit owner review before any default exposure.,This is retained as frozen legacy/research boundary and must not enter default runtime or product prompt.,importedBy=1; activeImports=0; docRefs=6; testRefs=0; scriptRefs=0; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md; docRef:docs/DSXU_V6_OWNER_REVIEW_DECISIONS_20260519.md
src/coordinator/roles/message.ts,Frozen Agent Role Evidence Owner,legacy,core-or-unclear,source,doc-only,1,1,7,0,0,false,false,Keep frozen outside default runtime; require explicit owner review before any default exposure.,This is retained as frozen legacy/research boundary and must not enter default runtime or product prompt.,importedBy=1; activeImports=1; docRefs=7; testRefs=0; scriptRefs=0; activeImport:src/coordinator/roles/index.ts; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md; docRef:docs/DSXU_V6_OWNER_REVIEW_DECISIONS_20260519.md
src/coordinator/roles/orchestrator.ts,Frozen Agent Role Evidence Owner,legacy,core-or-unclear,source,doc-only,1,1,6,0,0,false,false,Keep frozen outside default runtime; require explicit owner review before any default exposure.,This is retained as frozen legacy/research boundary and must not enter default runtime or product prompt.,importedBy=1; activeImports=1; docRefs=6; testRefs=0; scriptRefs=0; activeImport:src/coordinator/roles/index.ts; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md; docRef:docs/DSXU_V6_OWNER_REVIEW_DECISIONS_20260519.md
src/coordinator/roles/README.md,Frozen Agent Role Evidence Owner,legacy,core-or-unclear,source,doc-only,0,0,6,0,0,false,false,Keep frozen outside default runtime; require explicit owner review before any default exposure.,This is retained as frozen legacy/research boundary and must not enter default runtime or product prompt.,importedBy=0; activeImports=0; docRefs=6; testRefs=0; scriptRefs=0; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md; docRef:docs/DSXU_V6_OWNER_REVIEW_DECISIONS_20260519.md
src/coordinator/roles/role-implementations.ts,Frozen Agent Role Evidence Owner,legacy,core-or-unclear,source,doc-only,1,1,6,0,0,false,false,Keep frozen outside default runtime; require explicit owner review before any default exposure.,This is retained as frozen legacy/research boundary and must not enter default runtime or product prompt.,importedBy=1; activeImports=1; docRefs=6; testRefs=0; scriptRefs=0; activeImport:src/coordinator/roles/index.ts; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md; docRef:docs/DSXU_V6_OWNER_REVIEW_DECISIONS_20260519.md
src/coordinator/voting/clusterer.ts,Frozen Agent Evidence Owner,legacy,core-or-unclear,source,doc-only,2,0,6,0,0,false,false,Keep frozen outside default runtime; require explicit owner review before any default exposure.,This is retained as frozen legacy/research boundary and must not enter default runtime or product prompt.,importedBy=2; activeImports=0; docRefs=6; testRefs=0; scriptRefs=0; docRef:docs/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.md; docRef:docs/DSXU_V6_OWNER_REVIEW_DECISIONS_20260519.md
