"workOrderId","kind","familyId","mustUseExistingOwner","comparisonIdRequirement","taskIdRequirement","targetReferenceRawOutputRequirement"
"P12-19-RT-01:target-reference","existing-dsxu-pair","RT-01","Code Intelligence / Repair Loop Owner","target-reference log comparisonId must equal P12-19-RT-01","target-reference log taskId must equal RT-01","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-01-additional-2:target-reference","existing-dsxu-pair","RT-01","Code Intelligence / Repair Loop Owner","target-reference log comparisonId must equal P12-19-RT-01-additional-2","target-reference log taskId must equal RT-01-additional-2","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-01-additional-3:target-reference","existing-dsxu-pair","RT-01","Code Intelligence / Repair Loop Owner","target-reference log comparisonId must equal P12-19-RT-01-additional-3","target-reference log taskId must equal RT-01-additional-3","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-02-additional-1:target-reference","existing-dsxu-pair","RT-02","Code Intelligence / Task Runtime Owner","target-reference log comparisonId must equal P12-19-RT-02-additional-1","target-reference log taskId must equal RT-02-additional-1","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-02-additional-2:target-reference","existing-dsxu-pair","RT-02","Code Intelligence / Task Runtime Owner","target-reference log comparisonId must equal P12-19-RT-02-additional-2","target-reference log taskId must equal RT-02-additional-2","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-03-additional-1:target-reference","existing-dsxu-pair","RT-03","Review / Verification Owner","target-reference log comparisonId must equal P12-19-RT-03-additional-1","target-reference log taskId must equal RT-03-additional-1","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-03-additional-2:target-reference","existing-dsxu-pair","RT-03","Review / Verification Owner","target-reference log comparisonId must equal P12-19-RT-03-additional-2","target-reference log taskId must equal RT-03-additional-2","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-04:target-reference","existing-dsxu-pair","RT-04","Terminal ResultPack / Bash-PowerShell Adapter Owner","target-reference log comparisonId must equal P12-19-RT-04","target-reference log taskId must equal RT-04","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-04-additional-2:target-reference","existing-dsxu-pair","RT-04","Terminal ResultPack / Bash-PowerShell Adapter Owner","target-reference log comparisonId must equal P12-19-RT-04-additional-2","target-reference log taskId must equal RT-04-additional-2","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-05-additional-1:target-reference","existing-dsxu-pair","RT-05","Browser / Dev Server Proof Owner","target-reference log comparisonId must equal P12-19-RT-05-additional-1","target-reference log taskId must equal RT-05-additional-1","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-06-additional-1:target-reference","existing-dsxu-pair","RT-06","Build / Package Verification Owner","target-reference log comparisonId must equal P12-19-RT-06-additional-1","target-reference log taskId must equal RT-06-additional-1","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-07:target-reference","existing-dsxu-pair","RT-07","Context / Compact Resume Owner","target-reference log comparisonId must equal P12-19-RT-07","target-reference log taskId must equal RT-07","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-07-additional-2:target-reference","existing-dsxu-pair","RT-07","Context / Compact Resume Owner","target-reference log comparisonId must equal P12-19-RT-07-additional-2","target-reference log taskId must equal RT-07-additional-2","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
"P12-19-RT-08:target-reference","existing-dsxu-pair","RT-08","Agent Orchestration / Parent Final Gate Owner","target-reference log comparisonId must equal P12-19-RT-08","target-reference log taskId must equal RT-08","collect one real target-reference raw transcript, tool trace, final report, artifacts, metrics, and risks for the same task identity"
