path,status,deleteSafety,transformPotential,size,lines,version,claimRisk,releaseRisk,absorbedBy,remainingSignals,referencedBy,recommendedAction,title
"docs/BENCHMARK.md","active-public-doc","no","high","5485","61","","true","true","V6-S Prompt Section Router; V6-S Skills/MCP expert layer; V6 Proof/Recovery/Gates; V6 claim boundary; future release/IP phase; future replay/scenario bank","prompt-behavior-discipline; skill-mcp-workflow-boundary; verification-recovery-gates; context-memory-ledger; deepseek-routing-cost-cache; benchmark-and-hit-rate-evidence; claim-boundary-and-public-wording; release-ip-brand-risk; tui-visible-state-experience; scenario-test-corpus","docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_DOC_SIGNAL_EXTRACTION_20260519.md; docs/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V1_OPTIMIZATION_PLAN.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/DSXU_V2_EXECUTION_PLAN_20260518_CN.md; docs/DSXU_V3_CACHE_FIRST_EXECUTION_PLAN_20260518_CN.md; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_PREFLIGHT_20260515.json; docs/generated/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.json; docs/generated/DSXU_V7_SCENARIO_REPLAY_LAYER_EVIDENCE_20260519.json","keep and sync wording with V6 claim boundaries","DSXU Benchmark and Public Evidence Truth"
"docs/CONFIGURATION.md","active-public-doc","no","high","2732","77","","false","true","V6-S Agent discipline; V6-S Skills/MCP expert layer; V6 Proof/Recovery/Gates; V6 claim boundary; future release/IP phase","agent-multi-window-orchestration; skill-mcp-workflow-boundary; verification-recovery-gates; context-memory-ledger; deepseek-routing-cost-cache; claim-boundary-and-public-wording; release-ip-brand-risk; tui-visible-state-experience","docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_DOC_SIGNAL_EXTRACTION_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V20_MASTER_PLAN_20260514.md; docs/DSXU_V20_REAL_GAP_PRODUCTIZATION_REVIEW_20260514.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/generated/DSXU_BRAND_COMPAT_RISK_BOARD_20260517.json; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_COMMERCIAL_IP_BRAND_SCAN_20260515.csv; docs/generated/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260514.csv; docs/generated/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260515.csv; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_COMMAND_PLAN_20260515.csv; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_COMMAND_PLAN_20260515.json","keep and sync wording with V6 claim boundaries","DSXU Code Configuration"
"docs/CONTRIBUTING.md","active-public-doc","no","high","1552","53","","false","true","V6-S Agent discipline; V6-S Skills/MCP expert layer; V6-S Strict Schema / Tool View; V6 claim boundary; future release/IP phase; future replay/scenario bank","agent-multi-window-orchestration; skill-mcp-workflow-boundary; tool-protocol-and-schema; deepseek-routing-cost-cache; claim-boundary-and-public-wording; release-ip-brand-risk; scenario-test-corpus","docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_DOC_SIGNAL_EXTRACTION_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V20_MASTER_PLAN_20260514.md; docs/DSXU_V4_CONSOLIDATION_EXECUTION_PLAN_20260518_CN.md; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_REASONIX_SOURCE_FILE_COVERAGE_20260517.csv; docs/generated/DSXU_REASONIX_SOURCE_FILE_COVERAGE_20260517.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260514.csv; docs/generated/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260515.csv; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_COMMAND_PLAN_20260515.csv; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_COMMAND_PLAN_20260515.json; docs/generated/DSXU_V20_OWNER_GIT_PRODUCT_STAGE_PLAN_20260515.csv","keep and sync wording with V6 claim boundaries","Contributing to DSXU Code"
"docs/DEEPSEEK_V4_CAPABILITIES.md","active-reference","no","high","3511","52","","true","true","V6-S Prompt Section Router; V6-S Agent discipline; V6-S Skills/MCP expert layer; V6-S Strict Schema / Tool View; V6 Proof/Recovery/Gates; V6 claim boundary; future release/IP phase; future replay/scenario bank","prompt-behavior-discipline; agent-multi-window-orchestration; skill-mcp-workflow-boundary; tool-protocol-and-schema; verification-recovery-gates; context-memory-ledger; deepseek-routing-cost-cache; benchmark-and-hit-rate-evidence; claim-boundary-and-public-wording; release-ip-brand-risk; scenario-test-corpus","docs/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.md; docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_DOC_SIGNAL_EXTRACTION_20260519.md; docs/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V1_OPTIMIZATION_PLAN.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/DSXU_V4_CONSOLIDATION_EXECUTION_PLAN_20260518_CN.md; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_PREFLIGHT_20260515.json; docs/generated/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.json; docs/generated/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.csv; docs/generated/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.json","keep; refresh against official DeepSeek docs before public release","DeepSeek Capability Truth for DSXU"
"docs/DOCTOR_HEALTH.md","active-public-doc","no","high","2292","58","","false","true","V6-S Agent discipline; V6-S Skills/MCP expert layer; V6-S Strict Schema / Tool View; future release/IP phase; future replay/scenario bank","agent-multi-window-orchestration; skill-mcp-workflow-boundary; tool-protocol-and-schema; deepseek-routing-cost-cache; release-ip-brand-risk; scenario-test-corpus","docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_DOC_SIGNAL_EXTRACTION_20260519.md; docs/DSXU_OPTIMIZATION_FOR_CODEX_20260517.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V20_MASTER_PLAN_20260514.md; docs/DSXU_V20_REAL_GAP_PRODUCTIZATION_REVIEW_20260514.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_COMMERCIAL_IP_BRAND_SCAN_20260515.csv; docs/generated/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260514.csv; docs/generated/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260515.csv; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_COMMAND_PLAN_20260515.csv; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_COMMAND_PLAN_20260515.json","keep and sync wording with V6 claim boundaries","DSXU Doctor and Health"
"docs/DSXU_AGENT_MCP_SKILL_BOUNDARY_ACCEPTANCE_20260516.md","evidence-audit","after-signal-extraction","high","2287","49","","false","true","V6-S Agent discipline; V6-S Skills/MCP expert layer; V6-S Strict Schema / Tool View; V6 Proof/Recovery/Gates; V6 claim boundary; future release/IP phase; future replay/scenario bank","agent-multi-window-orchestration; skill-mcp-workflow-boundary; tool-protocol-and-schema; verification-recovery-gates; deepseek-routing-cost-cache; benchmark-and-hit-rate-evidence; claim-boundary-and-public-wording; release-ip-brand-risk; scenario-test-corpus","docs/DSXU_ARCHIVE_WATCHLIST_20260519.md; docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/generated/DSXU_ARCHIVE_WATCHLIST_20260519.json; docs/generated/DSXU_CAPABILITY_ACCEPTANCE_AUDIT_20260516.json; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_PREFLIGHT_20260515.json; docs/generated/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.json; docs/generated/DSXU_V7_SCENARIO_REPLAY_LAYER_EVIDENCE_20260519.json","extract signals into V6/V6-S backlog before archive: agent-multi-window-orchestration, skill-mcp-workflow-boundary, tool-protocol-and-schema, verification-recovery-gates, deepseek-routing-cost-cache, benchmark-and-hit-rate-evidence, claim-boundary-and-public-wording, release-ip-brand-risk, scenario-test-corpus","DSXU Agent MCP Skill Boundary Acceptance - 20260516"
"docs/DSXU_ARCHIVE_WATCHLIST_20260519.md","manual-review","after-signal-extraction","high","9936","107","","true","true","V6-S Prompt Section Router; V6-S Agent discipline; V6-S Skills/MCP expert layer; V6 Proof/Recovery/Gates; V6 claim boundary; future release/IP phase; future replay/scenario bank","prompt-behavior-discipline; agent-multi-window-orchestration; skill-mcp-workflow-boundary; verification-recovery-gates; context-memory-ledger; deepseek-routing-cost-cache; benchmark-and-hit-rate-evidence; claim-boundary-and-public-wording; release-ip-brand-risk; tui-visible-state-experience; scenario-test-corpus","docs/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.md; docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_V7_SAFE_CONSOLIDATION_AND_SIGNAL_ABSORPTION_20260519_CN.md; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_PREFLIGHT_20260515.json","extract signals into V6/V6-S backlog before archive: prompt-behavior-discipline, agent-multi-window-orchestration, skill-mcp-workflow-boundary, verification-recovery-gates, context-memory-ledger, deepseek-routing-cost-cache, benchmark-and-hit-rate-evidence, claim-boundary-and-public-wording, release-ip-brand-risk, tui-visible-state-experience, scenario-test-corpus","DSXU V7 Archive Watchlist - 20260519"
"docs/DSXU_BLOCKED_CLAIM_CORPUS_20260517.md","evidence-audit","after-signal-extraction","high","5576","71","","true","true","V6-S Agent discipline; V6-S Skills/MCP expert layer; V6 claim boundary; future release/IP phase; future replay/scenario bank","agent-multi-window-orchestration; skill-mcp-workflow-boundary; context-memory-ledger; deepseek-routing-cost-cache; benchmark-and-hit-rate-evidence; claim-boundary-and-public-wording; release-ip-brand-risk; tui-visible-state-experience; scenario-test-corpus","docs/BENCHMARK.md; docs/DSXU_ARCHIVE_WATCHLIST_20260519.md; docs/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.md; docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/generated/DSXU_ARCHIVE_WATCHLIST_20260519.json; docs/generated/DSXU_BLOCKED_CLAIM_CORPUS_20260517.json; docs/generated/DSXU_BRAND_COMPAT_RISK_BOARD_20260517.json; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_PREFLIGHT_20260515.json; docs/generated/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.json","extract signals into V6/V6-S backlog before archive: agent-multi-window-orchestration, skill-mcp-workflow-boundary, context-memory-ledger, deepseek-routing-cost-cache, benchmark-and-hit-rate-evidence, claim-boundary-and-public-wording, release-ip-brand-risk, tui-visible-state-experience, scenario-test-corpus","DSXU Blocked Claim Corpus - 2026-05-17"
"docs/DSXU_BRAND_COMPAT_RISK_BOARD_20260517.md","evidence-audit","after-signal-extraction","high","19981","118","","true","true","V6-S Prompt Section Router; V6-S Skills/MCP expert layer; V6 claim boundary; future release/IP phase; future replay/scenario bank","prompt-behavior-discipline; skill-mcp-workflow-boundary; context-memory-ledger; deepseek-routing-cost-cache; claim-boundary-and-public-wording; release-ip-brand-risk; scenario-test-corpus","docs/DSXU_ARCHIVE_WATCHLIST_20260519.md; docs/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.md; docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/generated/DSXU_ARCHIVE_WATCHLIST_20260519.json; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_PREFLIGHT_20260515.json; docs/generated/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.json; docs/generated/DSXU_V24_SENIOR_CODING_WINDOW_20260515.json; docs/generated/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.csv; docs/generated/DSXU_V6_OWNER_CLEANUP_CHECK_20260519.json","extract signals into V6/V6-S backlog before archive: prompt-behavior-discipline, skill-mcp-workflow-boundary, context-memory-ledger, deepseek-routing-cost-cache, claim-boundary-and-public-wording, release-ip-brand-risk, scenario-test-corpus","DSXU Brand and Compatibility Risk Board"
"docs/DSXU_CAPABILITY_ACCEPTANCE_AUDIT_20260516.md","evidence-audit","after-signal-extraction","high","5688","56","","true","true","V6-S Agent discipline; V6-S Skills/MCP expert layer; V6 Proof/Recovery/Gates; V6 claim boundary; future release/IP phase; future replay/scenario bank","agent-multi-window-orchestration; skill-mcp-workflow-boundary; verification-recovery-gates; deepseek-routing-cost-cache; benchmark-and-hit-rate-evidence; claim-boundary-and-public-wording; release-ip-brand-risk; tui-visible-state-experience; scenario-test-corpus","docs/BENCHMARK.md; docs/DSXU_ARCHIVE_WATCHLIST_20260519.md; docs/DSXU_DOCS_TRUTH_REGISTRY_20260519.md; docs/DSXU_SCENARIO_REPLAY_BANK_20260519.md; docs/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.md; docs/DSXU_V26_MASTER_PLAN_20260515.md; docs/generated/DSXU_ARCHIVE_WATCHLIST_20260519.json; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.csv; docs/generated/DSXU_CAPABILITY_TRUTH_MATRIX_20260519.json; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.csv; docs/generated/DSXU_DOCS_TRUTH_REGISTRY_20260519.json; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.csv; docs/generated/DSXU_DOC_SIGNAL_EXTRACTION_20260519.json; docs/generated/DSXU_PROMPT_INPUT_ALLOWLIST_20260519.json; docs/generated/DSXU_SCENARIO_REPLAY_BANK_20260519.json; docs/generated/DSXU_V20_OWNER_GIT_MUTATION_PREFLIGHT_20260515.json; docs/generated/DSXU_V24_CLEAN_EXPORT_ARTIFACT_20260515.json; docs/generated/DSXU_V7_SCENARIO_REPLAY_LAYER_EVIDENCE_20260519.json","extract signals into V6/V6-S backlog before archive: agent-multi-window-orchestration, skill-mcp-workflow-boundary, verification-recovery-gates, deepseek-routing-cost-cache, benchmark-and-hit-rate-evidence, claim-boundary-and-public-wording, release-ip-brand-risk, tui-visible-state-experience, scenario-test-corpus","DSXU Capability Acceptance Audit - 2026-05-16"
