"statusCode","path","ownerPacket","reviewState","recommendedAction","source"
"??","CHANGELOG.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust","previous-register"
"??","CODE_OF_CONDUCT.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust","previous-register"
"??","docs/CONFIGURATION.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/CONTRIBUTING.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DOCTOR_HEALTH.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_100_POINT_ARCHITECTURE_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_ACL_RESIDUE_REVIEW_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_ACL_RESIDUE_SIGNOFF_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-refresh-20260515"
"??","docs/DSXU_V20_BATCH_CLOSURE_BOARD_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_C2_FULL_OWNER_EXECUTION_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_CLAUDE_EXPERIENCE_DATA_AUDIT_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_CLAUDE_SRC_COMPARATIVE_ABSORPTION_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_CLOSURE_BOARD_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_COMMERCIAL_IP_BRAND_ADJUDICATION_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-refresh-20260515"
