"relative_path","top_dir","ext","bytes","lines","imports","exports","symbol_signal_count","owner_family","primary_experience_signal","experience_signal_categories","telemetry_data_hits","memory_context_hits","ui_interaction_hits","tool_runtime_hits","permission_safety_hits","recovery_remote_hits","coding_workflow_hits","provider_model_hits","plugin_mcp_skill_hits","contains_inline_sourcemap","dsxu_v20_action"
"assistant/sessionHistory.ts","assistant",".ts","2503","88","5","6","5","model_cost_context","coding_workflow","telemetry_data;memory_context;ui_interaction;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","2","20","6","0","0","1","7","5","5","no","adapt_or_exclude_product_specific"
"bootstrap/state.ts","bootstrap",".ts","56109","1759","20","215","235","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","137","281","80","126","75","33","87","328","144","no","adapt_or_exclude_product_specific"
"bridge/bridgeApi.ts","bridge",".ts","18066","540","3","5","28","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","47","69","67","4","27","125","69","42","17","no","adapt_or_exclude_product_specific"
"bridge/bridgeConfig.ts","bridge",".ts","1695","49","2","4","4","mcp_skill_plugin","coding_workflow","telemetry_data;tool_runtime;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","9","0","0","1","0","21","1","10","10","no","adapt_or_exclude_product_specific"
"bridge/bridgeDebug.ts","bridge",".ts","4926","136","3","6","11","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","3","16","9","1","6","66","13","14","1","no","absorb_into_dsxu_mainline"
"bridge/bridgeEnabled.ts","bridge",".ts","8442","203","5","8","9","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","13","7","4","3","14","51","12","42","14","no","adapt_or_exclude_product_specific"
"bridge/bridgeMain.ts","bridge",".ts","115571","3000","30","10","188","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","143","907","187","62","160","574","346","103","66","no","adapt_or_exclude_product_specific"
"bridge/bridgeMessaging.ts","bridge",".ts","15703","462","14","10","17","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","18","25","63","22","26","32","17","24","35","no","adapt_or_exclude_product_specific"
"bridge/bridgePermissionCallbacks.ts","bridge",".ts","1411","44","1","2","0","permission_gate","permission_safety","ui_interaction;tool_runtime;permission_safety;recovery_remote","0","0","3","2","23","14","0","0","0","no","absorb_into_dsxu_mainline"
"bridge/bridgePointer.ts","bridge",".ts","7611","211","9","7","19","mcp_skill_plugin","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","0","14","2","24","4","52","59","3","0","no","absorb_into_dsxu_mainline"
"bridge/bridgeStatusUtil.ts","bridge",".ts","5143","164","4","16","28","mcp_skill_plugin","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","0","16","22","5","1","36","15","4","0","no","adapt_or_exclude_product_specific"
"bridge/bridgeUI.ts","bridge",".ts","16780","531","7","1","46","mcp_skill_plugin","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","0","98","133","54","3","38","123","8","0","no","absorb_into_dsxu_mainline"
"bridge/capacityWake.ts","bridge",".ts","1841","57","0","3","5","mcp_skill_plugin","memory_context","memory_context;recovery_remote;plugin_mcp_skill","0","1","0","0","0","27","0","0","1","no","absorb_into_dsxu_mainline"
"bridge/codeSessionApi.ts","bridge",".ts","4840","169","5","3","10","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","12","25","11","1","5","25","8","11","5","no","adapt_or_exclude_product_specific"
"bridge/createSession.ts","bridge",".ts","12157","385","5","4","33","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","37","78","25","4","8","50","61","32","34","no","adapt_or_exclude_product_specific"
"bridge/debugUtils.ts","bridge",".ts","4240","142","4","7","19","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","10","1","28","1","8","5","9","1","1","no","absorb_into_dsxu_mainline"
"bridge/envLessBridgeConfig.ts","bridge",".ts","7250","166","5","5","8","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","6","10","7","4","4","74","4","7","3","no","adapt_or_exclude_product_specific"
"bridge/flushGate.ts","bridge",".ts","1981","72","0","1","2","mcp_skill_plugin","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;plugin_mcp_skill","0","1","5","1","2","14","1","0","8","no","absorb_into_dsxu_mainline"
"bridge/inboundAttachments.ts","bridge",".ts","6267","176","11","5","22","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","7","3","16","9","7","12","13","11","8","no","adapt_or_exclude_product_specific"
