sourceDoc,sourceLines,signalCategory,summary,targetOwner,targetV6WorkPackage,alreadyCovered,missingRuntime,missingTest,promptAllowed,claimAllowed,archiveAfterExtraction
docs/BENCHMARK.md,1-61,prompt-discipline,"prompt-behavior-discipline extracted from active-public-doc; use as structured signal only, not raw prompt context.",Prompt Section Router / Prompt Input Allowlist,V7-02,false,false,false,true,false,false
docs/BENCHMARK.md,1-61,agent-skill-mcp,"skill-mcp-workflow-boundary extracted from active-public-doc; use as structured signal only, not raw prompt context.",Agent Evidence / MCP Skill Registry,V6 Agent-Skill Expert Layer,false,false,false,false,false,false
docs/BENCHMARK.md,1-61,verification-recovery,"verification-recovery-gates extracted from active-public-doc; use as structured signal only, not raw prompt context.",VerificationKernel / Recovery Decision,V6 Recovery / V7 Scenario Replay,false,false,false,false,false,false
docs/BENCHMARK.md,1-61,context-memory-ledger,"context-memory-ledger extracted from active-public-doc; use as structured signal only, not raw prompt context.",PlanGraph / Work-State Ledger,V6 Ledger / V7 Runtime Reachability,false,false,false,false,false,false
docs/BENCHMARK.md,1-61,deepseek-routing-cost-cache,"deepseek-routing-cost-cache extracted from active-public-doc; use as structured signal only, not raw prompt context.",DeepSeek Route / Cost / Cache Owner,V6 DeepSeek Native Runtime,false,false,false,false,false,false
docs/BENCHMARK.md,1-61,benchmark-hit-rate,"benchmark-and-hit-rate-evidence extracted from active-public-doc; use as structured signal only, not raw prompt context.",Evidence / Benchmark Owner,V7 Claim Boundary Gate,false,false,true,false,false,false
docs/BENCHMARK.md,1-61,release-claim-boundary,"claim-boundary-and-public-wording extracted from active-public-doc; use as structured signal only, not raw prompt context.",Release Claim Binder,V7 Claim Boundary Gate,false,false,true,false,false,false
docs/BENCHMARK.md,1-61,release-claim-boundary,"release-ip-brand-risk extracted from active-public-doc; use as structured signal only, not raw prompt context.",Release Claim Binder,V7 Claim Boundary Gate,false,false,true,false,false,false
docs/BENCHMARK.md,1-61,tui-trust-surface,"tui-visible-state-experience extracted from active-public-doc; use as structured signal only, not raw prompt context.",TUI Trust Surface,V6 PTY/TUI Acceptance,false,false,false,false,false,false
docs/BENCHMARK.md,1-61,scenario-replay,"scenario-test-corpus extracted from active-public-doc; use as structured signal only, not raw prompt context.",Scenario Replay Bank,V7-06,false,false,true,false,false,false
