id,domain,mechanism,dsxu_owner,current_status,absorb_level,required_evidence
TBC-01,Think Before Coding,Assumption ledger before nontrivial mutation,Action Contract / Work-State,partial-existing,P0,"Action Contract includes assumptions and work-state renders them before write/execute."
TBC-02,Think Before Coding,Ambiguity alternatives instead of silent interpretation,Query loop / Action Contract,partial-existing,P0,"High-risk ambiguity either resolved from source truth or marked ask/block with alternatives."
TBC-03,Think Before Coding,Privacy/security sensitivity before export/data feature,Tool Gate / Permission Gate,partial-existing,P0,"Permission evidence includes sensitive fields/path/network risk before side effect."
TBC-04,Think Before Coding,Push back when simpler owner-preserving path exists,Query loop / Product Core Guard,partial-existing,P1,"Final report records rejected over-complex path and chosen DSXU owner path."
TBC-05,Think Before Coding,Stop or ask only for unresolved high-risk confusion,Query loop,partial-existing,P1,"No endless clarification; ordinary ambiguity proceeds with explicit assumption."
TBC-06,Think Before Coding,Performance intent decomposer,VerificationKernel / Evidence,needs-code-or-test,P1,"Performance request split into latency/throughput/perceived UX/cost/cache metric."
TBC-07,Think Before Coding,Volume and scale question for data tasks,Action Contract,needs-code-or-test,P1,"Action Contract captures data volume assumption and verification scope."
TBC-08,Think Before Coding,Schema/field sensitivity check,Source Truth / Tool Gate,partial-existing,P0,"Source capsule or schema read binds fields touched; secret/sensitive fields flagged."
SIM-01,Simplicity First,Reject single-use abstraction,Product Core Guard / owner review,needs-code-or-test,P0,"Speculative abstraction smell appears in owner review evidence."
SIM-02,Simplicity First,Reject speculative options/config/fallbacks,Product Core Guard / Action Contract,needs-code-or-test,P0,"New options require user request or owner rationale."
SIM-03,Simplicity First,Reject unrequested cache/notification/background systems,Product Core Guard,needs-code-or-test,P1,"Background/cache additions require explicit workflow owner and tests."
SIM-04,Simplicity First,Error handling relevance check,VerificationKernel / Code-mode owner,needs-code-or-test,P1,"New error branches map to real failure mode or are flagged speculative."
SIM-05,Simplicity First,Code size and complexity self-review,Code-mode surgical loop,needs-code-or-test,P1,"Final report includes complexity delta for high-risk new modules."
SIM-06,Simplicity First,Ownerless helper rejection,Owner map / replace-delete review,partial-existing,P0,"New helper must have import/use owner and test obligation."
SIM-07,Simplicity First,No second runtime guard,Runtime Singularity / Product Core Guard,partial-existing,P0,"Provider/tool/permission/MCP/agent additions prove mainline owner."
SIM-08,Simplicity First,Duplicate behavior merge or replace-delete candidate,Owner/Git review,partial-existing,P0,"Equivalent duplicate becomes merge/delete candidate, not compatibility holding path."
SUR-01,Surgical Changes,Allowed files scope fence,Action Contract / Tool Gate,implemented-partial,P0,"Write/execute target must match allowedFiles or be blocked/refreshed."
SUR-02,Surgical Changes,Changed line trace to user request,Touched-file ledger,needs-code-or-test,P0,"Each touched file has whyTouched, owner, risk, verificationBinding."
SUR-03,Surgical Changes,No drive-by formatting/refactor,Code-mode surgical loop,needs-code-or-test,P1,"Diff classifier flags unrelated formatting/refactor changes."
SUR-04,Surgical Changes,Existing style match,Code-mode owner,partial-existing,P1,"Patch planner records nearby style inference for meaningful code changes."
SUR-05,Surgical Changes,Only cleanup orphans created by current change,Code-mode owner / replace-delete review,needs-code-or-test,P1,"Orphan cleanup evidence distinguishes new orphan vs pre-existing dead code."
SUR-06,Surgical Changes,Unrelated dead code mention not delete,Replace-delete review,partial-existing,P1,"Pre-existing dead code is reported as candidate, not auto-deleted."
SUR-07,Surgical Changes,Product core path protection,Product Core Guard,implemented-partial,P0,"Writes/executes inside DSXU product core require explicit override evidence."
SUR-08,Surgical Changes,Blast radius before multi-file mutation,Blast Radius / Work-State,partial-existing,P0,"Multi-file mutation emits impacted entry/test/config/doc risk."
GOAL-01,Goal-Driven Execution,Success criteria before complex work,Action Contract / GoStop,partial-existing,P0,"Missing successCriteria blocks or degrades high-risk mutation claim."
GOAL-02,Goal-Driven Execution,Bugfix reproduces failure then passes,VerificationKernel / RepairLoop,partial-existing,P0,"Bugfix report includes failure-before and pass-after evidence where feasible."
GOAL-03,Goal-Driven Execution,Refactor before/after behavior proof,VerificationKernel,partial-existing,P1,"Refactor requires pre/post test or no-loss baseline evidence."
GOAL-04,Goal-Driven Execution,Per-step verify plan,PlanGraph / Work-State,partial-existing,P0,"Plan steps carry verification check and visible next action."
GOAL-05,Goal-Driven Execution,Failure-to-repair loop evidence,FailureTaxonomy / VerificationKernel,partial-existing,P0,"Failure classified, fix attempted, rerun evidence bound."
GOAL-06,Goal-Driven Execution,Final evidence binder,Final report / Release claim binder,partial-existing,P0,"Final report binds source/test/live/raw/cost/cache as applicable."
GOAL-07,Goal-Driven Execution,Simple fast path for trivial tasks,Query loop,needs-code-or-test,P2,"Trivial one-liners do not force heavy ceremony but still preserve evidence."
GOAL-08,Goal-Driven Execution,Public claim boundary,Release claim binder,partial-existing,P0,"README/GitHub claims only cite real DSXU evidence."
RISK-01,Brand and License,No brand/product feature naming,Public docs / release,needs-review,P0,"No DSXU public product feature uses external brand names."
RISK-02,Brand and License,MIT notice handled if copying text,Release compliance,needs-review,P1,"If any text/code is reused, license notice is preserved; preferred path is mechanism-only rewrite."
