"referencePath","dsxuDirectPath","dsxuDirectPathExists","c2Action","finalDecision","closureState","disposition","finalOwnerPacket","dsxuOwner","ownerFamily","primarySignal","experienceSignalCategories","auditImports","auditExports","auditSymbolSignals","actualDsxuFiles","actualDsxuFileCount","ownerMainlineFilesPresent","importUseEvidence","testEvidence","testEvidenceCount","liveTuiApiEvidence","behaviorEvidenceStatus","c2LoopAcceptanceStatus","c2LoopPassedRows","requiredAction","focusReviewFlag"
"assistant/sessionHistory.ts","src/assistant/sessionHistory.ts","yes","adapt_or_exclude_product_specific","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","product_specific_adapt_or_exclude","V20-OGR-07-provider-migration-model-cost","DeepSeek Model Router / Cost Evidence","model_cost_context","coding_workflow","telemetry_data;memory_context;ui_interaction;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","5","6","5","src/assistant/sessionHistory.ts;src/utils/model/deepseekV4Control.ts;src/utils/model/deepseekV4CostRouter.ts;src/utils/model/dsxuModel.ts;src/dsxu/engine/model-routing-control.ts;src/dsxu/engine/cost-tracker.ts;...+2","8","7/7","directPath imports=5 exports=7; ownerFiles imports=22 exports=86","src/dsxu/engine/__tests__/phase12-live-cost-matrix-v1.test.ts;src/dsxu/engine/__tests__/route-cache-roi-smoke.test.ts;src/dsxu/engine/__tests__/prompt-prefix-cache-builder.test.ts;src/dsxu/engine/__tests__/cold-mode-cost-planning-v1.test.ts","4","docs/generated/DSXU_V24_COMPLEX_TASK_ACCEPTANCE_20260515.json;docs/generated/DSXU_V24_PUBLIC_CHALLENGE_PACKAGE_20260515.json;.dsxu/trace/v24-live-dsxu","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful","REVIEW_DIRECT_DSXU_PATH_PRESENT_FOR_PRODUCT_SPECIFIC_ROW"
"bootstrap/state.ts","src/bootstrap/state.ts","yes","adapt_or_exclude_product_specific","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","product_specific_adapt_or_exclude","V20-OGR-09-dsxu-engine-mainline","DSXU Engine Mainline","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","20","215","235","src/bootstrap/state.ts;src/dsxu/engine/query-loop.ts;src/QueryEngine.ts;src/dsxu/engine/api-service.ts;src/dsxu/engine/release-test-gate.ts","5","4/5","directPath imports=22 exports=218; ownerFiles imports=74 exports=38","src/dsxu/engine/__tests__/query-loop-run-query-v1.test.ts;src/dsxu/engine/__tests__/query-loop-gate-state-v1.test.ts;src/dsxu/engine/__tests__/api-service.test.ts;src/dsxu/engine/__tests__/release-test-gate-v1.test.ts","4","docs/generated/DSXU_V24_COMPLEX_TASK_ACCEPTANCE_20260515.json;.dsxu/trace/v24-complex-task-acceptance","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful","REVIEW_DIRECT_DSXU_PATH_PRESENT_FOR_PRODUCT_SPECIFIC_ROW"
"bridge/bridgeApi.ts","src/bridge/bridgeApi.ts","no","adapt_or_exclude_product_specific","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","3","5","28","src/services/mcp/client.ts;src/services/mcp/MCPConnectionManager.tsx;src/services/mcp/config.ts;src/dsxu/engine/skills-registry-v1.ts;src/dsxu/engine/skills-executor.ts;src/dsxu/engine/skills-adapter.ts;...+1","7","7/7","directPath missing; ownerFiles imports=146 exports=102","src/dsxu/engine/__tests__/mcp-client.test.ts;src/dsxu/engine/__tests__/skills-integration.test.ts;src/dsxu/engine/__tests__/skills-executor.test.ts;src/dsxu/engine/__tests__/skill-governance-contract-v1.test.ts","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful",""
"bridge/bridgeConfig.ts","src/bridge/bridgeConfig.ts","no","adapt_or_exclude_product_specific","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","mcp_skill_plugin","coding_workflow","telemetry_data;tool_runtime;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","2","4","4","src/services/mcp/client.ts;src/services/mcp/MCPConnectionManager.tsx;src/services/mcp/config.ts;src/dsxu/engine/skills-registry-v1.ts;src/dsxu/engine/skills-executor.ts;src/dsxu/engine/skills-adapter.ts;...+1","7","7/7","directPath missing; ownerFiles imports=146 exports=102","src/dsxu/engine/__tests__/mcp-client.test.ts;src/dsxu/engine/__tests__/skills-integration.test.ts;src/dsxu/engine/__tests__/skills-executor.test.ts;src/dsxu/engine/__tests__/skill-governance-contract-v1.test.ts","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful",""
"bridge/bridgeDebug.ts","src/bridge/bridgeDebug.ts","no","absorb_into_dsxu_mainline","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","absorbed_into_dsxu_mainline","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","3","6","11","src/services/mcp/client.ts;src/services/mcp/MCPConnectionManager.tsx;src/services/mcp/config.ts;src/dsxu/engine/skills-registry-v1.ts;src/dsxu/engine/skills-executor.ts;src/dsxu/engine/skills-adapter.ts;...+1","7","7/7","directPath missing; ownerFiles imports=146 exports=102","src/dsxu/engine/__tests__/mcp-client.test.ts;src/dsxu/engine/__tests__/skills-integration.test.ts;src/dsxu/engine/__tests__/skills-executor.test.ts;src/dsxu/engine/__tests__/skill-governance-contract-v1.test.ts","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","keep under named DSXU owner; no Claude/source side runtime or duplicate entry",""
"bridge/bridgeEnabled.ts","src/bridge/bridgeEnabled.ts","no","adapt_or_exclude_product_specific","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","5","8","9","src/services/mcp/client.ts;src/services/mcp/MCPConnectionManager.tsx;src/services/mcp/config.ts;src/dsxu/engine/skills-registry-v1.ts;src/dsxu/engine/skills-executor.ts;src/dsxu/engine/skills-adapter.ts;...+1","7","7/7","directPath missing; ownerFiles imports=146 exports=102","src/dsxu/engine/__tests__/mcp-client.test.ts;src/dsxu/engine/__tests__/skills-integration.test.ts;src/dsxu/engine/__tests__/skills-executor.test.ts;src/dsxu/engine/__tests__/skill-governance-contract-v1.test.ts","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful",""
"bridge/bridgeMain.ts","src/bridge/bridgeMain.ts","no","adapt_or_exclude_product_specific","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","30","10","188","src/services/mcp/client.ts;src/services/mcp/MCPConnectionManager.tsx;src/services/mcp/config.ts;src/dsxu/engine/skills-registry-v1.ts;src/dsxu/engine/skills-executor.ts;src/dsxu/engine/skills-adapter.ts;...+1","7","7/7","directPath missing; ownerFiles imports=146 exports=102","src/dsxu/engine/__tests__/mcp-client.test.ts;src/dsxu/engine/__tests__/skills-integration.test.ts;src/dsxu/engine/__tests__/skills-executor.test.ts;src/dsxu/engine/__tests__/skill-governance-contract-v1.test.ts","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful",""
"bridge/bridgeMessaging.ts","src/bridge/bridgeMessaging.ts","no","adapt_or_exclude_product_specific","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","14","10","17","src/services/mcp/client.ts;src/services/mcp/MCPConnectionManager.tsx;src/services/mcp/config.ts;src/dsxu/engine/skills-registry-v1.ts;src/dsxu/engine/skills-executor.ts;src/dsxu/engine/skills-adapter.ts;...+1","7","7/7","directPath missing; ownerFiles imports=146 exports=102","src/dsxu/engine/__tests__/mcp-client.test.ts;src/dsxu/engine/__tests__/skills-integration.test.ts;src/dsxu/engine/__tests__/skills-executor.test.ts;src/dsxu/engine/__tests__/skill-governance-contract-v1.test.ts","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","do not copy product-specific behavior verbatim; adapt only through named DSXU owner when useful",""
"bridge/bridgePermissionCallbacks.ts","src/bridge/bridgePermissionCallbacks.ts","no","absorb_into_dsxu_mainline","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","absorbed_into_dsxu_mainline","V20-OGR-03-tool-permission-lifecycle","Tool Gate / Permission Gate","permission_gate","permission_safety","ui_interaction;tool_runtime;permission_safety;recovery_remote","1","2","0","src/Tool.ts;src/hooks/useCanUseTool.tsx;src/types/permissions.ts;src/dsxu/engine/permissions.ts;src/dsxu/engine/adapters/bash-adapter.ts;src/dsxu/engine/tool-evidence-pack-v1.ts","6","6/7","directPath missing; ownerFiles imports=79 exports=97","src/dsxu/engine/__tests__/permissions.test.ts;src/dsxu/engine/__tests__/tool-lifecycle-contract-v1.test.ts;src/dsxu/engine/__tests__/tool-gate-v1-clean.test.ts;src/dsxu/engine/__tests__/semantic-tool-gate-v1.test.ts;src/dsxu/engine/__tests__/mainline-tool-adapter-v1.test.ts","5",".dsxu/trace/v24-c2-loop-real-acceptance/tool-permission-regression-2026-05-15T07-18-27-204Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","keep under named DSXU owner; no Claude/source side runtime or duplicate entry",""
"bridge/bridgePointer.ts","src/bridge/bridgePointer.ts","no","absorb_into_dsxu_mainline","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","absorbed_into_dsxu_mainline","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","mcp_skill_plugin","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","9","7","19","src/services/mcp/client.ts;src/services/mcp/MCPConnectionManager.tsx;src/services/mcp/config.ts;src/dsxu/engine/skills-registry-v1.ts;src/dsxu/engine/skills-executor.ts;src/dsxu/engine/skills-adapter.ts;...+1","7","7/7","directPath missing; ownerFiles imports=146 exports=102","src/dsxu/engine/__tests__/mcp-client.test.ts;src/dsxu/engine/__tests__/skills-integration.test.ts;src/dsxu/engine/__tests__/skills-executor.test.ts;src/dsxu/engine/__tests__/skill-governance-contract-v1.test.ts","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","PASS_C2_LOOP_REAL_ACCEPTANCE_BATCH","51","keep under named DSXU owner; no Claude/source side runtime or duplicate entry",""
