"path","surface","severity","filenameHits","contentHits","lineHits","requiredAction"
"CHANGELOG.md","other","ok","","V20","3","review before public release if exposed to users"
"docs/CONFIGURATION.md","other","ok","","V20","1","review before public release if exposed to users"
"docs/CONTRIBUTING.md","other","ok","","V20","3","review before public release if exposed to users"
"docs/DOCTOR_HEALTH.md","other","ok","","V20","2","review before public release if exposed to users"
"docs/DSXU_V18_V19_MERGED_AUDIT_20260510_CLEAN.md","historical-evidence","allowed-evidence","V18","v10;V10;v11;v12;V14;v18;V18;v19;V19;v8;v9","163","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_100_POINT_ARCHITECTURE_REVIEW_20260514.md","historical-evidence","allowed-evidence","V20","V18;V20","14","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_ACL_RESIDUE_REVIEW_20260515.md","historical-evidence","allowed-evidence","V20","V20","3","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_ACL_RESIDUE_SIGNOFF_20260515.md","historical-evidence","allowed-evidence","V20","V20","3","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_BATCH_CLOSURE_BOARD_20260514.md","historical-evidence","allowed-evidence","V20","V18;V20","4","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_C2_FULL_OWNER_EXECUTION_20260514.md","historical-evidence","allowed-evidence","V20","V20","11","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260514.md","historical-evidence","allowed-evidence","V20","V20","24","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260515.md","historical-evidence","allowed-evidence","V20","V20","11","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_CLAUDE_EXPERIENCE_DATA_AUDIT_20260514.md","historical-evidence","allowed-evidence","V20","V20","8","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_CLAUDE_SRC_COMPARATIVE_ABSORPTION_REVIEW_20260514.md","historical-evidence","allowed-evidence","V20","V18;V20","36","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_CLOSURE_BOARD_20260515.md","historical-evidence","allowed-evidence","V20","v11;V11;v18;v19;v20;V20;v7;V7;v8","28","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_COMMERCIAL_IP_BRAND_ADJUDICATION_20260515.md","historical-evidence","allowed-evidence","V20","V20","5","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_COMMERCIAL_IP_BRAND_RELEASE_GATE_20260515.md","historical-evidence","allowed-evidence","V20","V20","7","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
"docs/DSXU_V20_DELETION_GIT_MUTATION_SIGNOFF_20260515.md","historical-evidence","allowed-evidence","V20","V20","15","keep for traceability; future product docs should link through docs/evidence instead of copying this name"
