"commandId","group","ownerPacket","pathCount","status","exitCode","stdoutTail","stderrTail","startedAt","finishedAt"
"product:V20-OGR-01-docs-generated-plan:1","product","V20-OGR-01-docs-generated-plan","40","STAGED","0","","T_REVIEW_REGISTER_REFRESH_20260515.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_REVIEW_20260514.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260514.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260515.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_UPDATE_20260514.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/DSXU_V20_P0_SOURCE_CLEANUP_EXECUTION_20260514.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/DSXU_V20_P1_PRODUCT_SIGNAL_OWNER_CLEANUP_20260514.md', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.390Z","2026-05-15T02:26:25.462Z"
"product:V20-OGR-01-docs-generated-plan:2","product","V20-OGR-01-docs-generated-plan","12","STAGED","0","","aced by CRLF the next time Git touches it
warning: in the working copy of 'docs/generated/DSXU_V20_REAL_GAP_PRODUCTIZATION_REVIEW_20260514.csv', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/generated/DSXU_V20_REAL_GAP_PRODUCTIZATION_REVIEW_SUMMARY_20260514.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/generated/DSXU_V20_RELEASE_SURFACE_OWNER_EXECUTION_20260514.csv', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/generated/DSXU_V20_RELEASE_SURFACE_OWNER_EXECUTION_SUMMARY_20260514.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/generated/DSXU_V20_SIX_STAGE_TEST_PLAN_20260515.csv', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'docs/generated/DSXU_V20_SIX_STAGE_TEST_PLAN_20260515.json', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.462Z","2026-05-15T02:26:25.587Z"
"product:V20-OGR-03-tool-permission-lifecycle:1","product","V20-OGR-03-tool-permission-lifecycle","40","STAGED","0","","BriefTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/BriefTool/attachments.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/BriefTool/upload.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/CollectEvidenceTool/CollectEvidenceTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/ConfigTool/ConfigTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/ConfigTool/prompt.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/BashTool/modeValidation.test.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/__tests__/v20-tool-permission-owner-gate.test.ts', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.587Z","2026-05-15T02:26:25.663Z"
"product:V20-OGR-03-tool-permission-lifecycle:2","product","V20-OGR-03-tool-permission-lifecycle","40","STAGED","0","","src/tools/FileEditTool/FileEditTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/FileReadTool/FileReadTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/FileReadTool/limits.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/FileWriteTool/FileWriteTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/GlobTool/GlobTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/GrepTool/GrepTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/LSPTool/LSPTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/ListMcpResourcesTool/ListMcpResourcesTool.ts', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.663Z","2026-05-15T02:26:25.741Z"
"product:V20-OGR-03-tool-permission-lifecycle:3","product","V20-OGR-03-tool-permission-lifecycle","40","STAGED","0","","e next time Git touches it
warning: in the working copy of 'src/tools/ScheduleCronTool/CronCreateTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/ScheduleCronTool/CronDeleteTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/ScheduleCronTool/CronListTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/ScheduleCronTool/prompt.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/shared/spawnMultiAgent.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/RemoteTriggerTool/providerMigrationRemoteTriggerProvider.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/RunNativeTestTool/RunNativeTestTool.test.ts', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.741Z","2026-05-15T02:26:25.819Z"
"product:V20-OGR-03-tool-permission-lifecycle:4","product","V20-OGR-03-tool-permission-lifecycle","40","STAGED","0","","eamCreateTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/TeamDeleteTool/TeamDeleteTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/TodoWriteTool/TodoWriteTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/ToolSearchTool/ToolSearchTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/TungstenTool/TungstenTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/WebFetchTool/WebFetchTool.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/WebFetchTool/utils.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/tools/testing/TestingPermissionTool.tsx', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.820Z","2026-05-15T02:26:25.895Z"
"product:V20-OGR-03-tool-permission-lifecycle:5","product","V20-OGR-03-tool-permission-lifecycle","32","STAGED","0","","', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/permissions/classifierDecision.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/permissions/dangerousPatterns.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/permissions/permissionRuleParser.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/permissions/permissionSetup.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/permissions/permissions.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/permissions/permissionsLoader.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/permissions/shellRuleMatching.ts', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.895Z","2026-05-15T02:26:25.975Z"
"product:V20-OGR-04-mcp-skill-plugin-registry:1","product","V20-OGR-04-mcp-skill-plugin-registry","40","STAGED","0","","e working copy of 'src/commands/mcp/addCommand.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/commands/mcp/index.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/commands/plugin/index.tsx', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/commands/plugin/usePagination.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/commands/reload-plugins/index.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/commands/reload-plugins/reload-plugins.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/commands/skills/index.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/components/mcp/MCPRemoteServerMenu.tsx', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:25.975Z","2026-05-15T02:26:26.097Z"
"product:V20-OGR-04-mcp-skill-plugin-registry:2","product","V20-OGR-04-mcp-skill-plugin-registry","40","STAGED","0","","in the working copy of 'src/services/mcp/client.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/services/mcp/config.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/services/mcp/dsxuProvider.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/services/mcp/headersHelper.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/services/mcp/officialRegistry.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/services/mcp/__tests__/doctor.test.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/services/mcp/doctor.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/services/mcp/providerConnectorMigration.ts', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:26.097Z","2026-05-15T02:26:26.200Z"
"product:V20-OGR-04-mcp-skill-plugin-registry:3","product","V20-OGR-04-mcp-skill-plugin-registry","40","STAGED","0","","py of 'src/skills/bundled/dsxuApiContent.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/skills/bundled/scheduleRemoteAgents.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/skills/loadSkillsDir.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/desktopMcpImport.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/mcp/elicitationValidation.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/mcpValidation.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/plugins/addDirPluginSettings.ts', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of 'src/utils/plugins/installedPluginsManager.ts', LF will be replaced by CRLF the next time Git touches it","2026-05-15T02:26:26.200Z","2026-05-15T02:26:26.309Z"
