"referencePath","ownerPacket","dsxuOwner","dsxuDirectPath","dsxuDirectPathExists","disposition","riskPriority","priorPublicClaimStatus","finalDecision","closureState","acceptanceDecision","acceptanceReason","capabilityLoops","testEvidenceCount","liveTuiApiEvidence","publicClaimBoundary"
"assistant/sessionHistory.ts","V20-OGR-07-provider-migration-model-cost","DeepSeek Model Router / Cost Evidence","src/assistant/sessionHistory.ts","yes","product_specific_adapt_or_exclude","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","adapted/excluded","product-specific, branded, subscription, commercial, or reference-only behavior is excluded/adapted; only DSXU-owned generic mechanisms may be cited.","visible-work-state;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4","docs/generated/DSXU_V24_COMPLEX_TASK_ACCEPTANCE_20260515.json;docs/generated/DSXU_V24_PUBLIC_CHALLENGE_PACKAGE_20260515.json;.dsxu/trace/v24-live-dsxu","do not claim as reference feature parity."
"bootstrap/state.ts","V20-OGR-09-dsxu-engine-mainline","DSXU Engine Mainline","src/bootstrap/state.ts","yes","product_specific_adapt_or_exclude","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","adapted/excluded","product-specific, branded, subscription, commercial, or reference-only behavior is excluded/adapted; only DSXU-owned generic mechanisms may be cited.","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4","docs/generated/DSXU_V24_COMPLEX_TASK_ACCEPTANCE_20260515.json;.dsxu/trace/v24-complex-task-acceptance","do not claim as reference feature parity."
"bridge/bridgeApi.ts","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeApi.ts","no","product_specific_adapt_or_exclude","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","adapted/excluded","product-specific, branded, subscription, commercial, or reference-only behavior is excluded/adapted; only DSXU-owned generic mechanisms may be cited.","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","do not claim as reference feature parity."
"bridge/bridgeConfig.ts","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeConfig.ts","no","product_specific_adapt_or_exclude","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","adapted/excluded","product-specific, branded, subscription, commercial, or reference-only behavior is excluded/adapted; only DSXU-owned generic mechanisms may be cited.","tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","do not claim as reference feature parity."
"bridge/bridgeDebug.ts","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeDebug.ts","no","absorbed_into_dsxu_mainline","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","implemented+tested","named DSXU owner has behavior evidence, test evidence, and live/TUI/API evidence; this is DSXU implementation evidence, not reference parity.","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","claim DSXU-owned generic mechanism only with owner/test/live evidence."
"bridge/bridgeEnabled.ts","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeEnabled.ts","no","product_specific_adapt_or_exclude","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","adapted/excluded","product-specific, branded, subscription, commercial, or reference-only behavior is excluded/adapted; only DSXU-owned generic mechanisms may be cited.","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","do not claim as reference feature parity."
"bridge/bridgeMain.ts","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeMain.ts","no","product_specific_adapt_or_exclude","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","adapted/excluded","product-specific, branded, subscription, commercial, or reference-only behavior is excluded/adapted; only DSXU-owned generic mechanisms may be cited.","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","do not claim as reference feature parity."
"bridge/bridgeMessaging.ts","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeMessaging.ts","no","product_specific_adapt_or_exclude","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","SIGNED_REFERENCE_ONLY_OR_DSXU_ADAPTATION","adapted/excluded","product-specific, branded, subscription, commercial, or reference-only behavior is excluded/adapted; only DSXU-owned generic mechanisms may be cited.","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","do not claim as reference feature parity."
"bridge/bridgePermissionCallbacks.ts","V20-OGR-03-tool-permission-lifecycle","Tool Gate / Permission Gate","src/bridge/bridgePermissionCallbacks.ts","no","absorbed_into_dsxu_mainline","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","implemented+tested","named DSXU owner has behavior evidence, test evidence, and live/TUI/API evidence; this is DSXU implementation evidence, not reference parity.","visible-work-state;tool-permission-lifecycle;context-memory-recovery","5",".dsxu/trace/v24-c2-loop-real-acceptance/tool-permission-regression-2026-05-15T07-18-27-204Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","claim DSXU-owned generic mechanism only with owner/test/live evidence."
"bridge/bridgePointer.ts","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgePointer.ts","no","absorbed_into_dsxu_mainline","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","C2_MAINLINE_ABSORPTION_SIGNED_BY_NAMED_OWNER","SIGNED_NO_SECOND_RUNTIME","implemented+tested","named DSXU owner has behavior evidence, test evidence, and live/TUI/API evidence; this is DSXU implementation evidence, not reference parity.","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","claim DSXU-owned generic mechanism only with owner/test/live evidence."
