id,capability,status,evidence,boundary
B01,ShellStateManager,implemented+live-evidenced,artifact-write; filesystem-state,DSXU-owned terminal live acceptance evidence.
B02,EnvironmentProbe,implemented+live-evidenced,env-probe,DSXU-owned terminal live acceptance evidence.
B03,CommandPlanner,implemented+live-evidenced,command-plan-proof,DSXU-owned terminal live acceptance evidence.
B05,OutputSummarizer,implemented+live-evidenced,long-output-summary,DSXU-owned terminal live acceptance evidence.
B06,FileSystemState,implemented+live-evidenced,artifact-write; filesystem-state,DSXU-owned terminal live acceptance evidence.
B08,ScriptSynthesizer,implemented+live-evidenced,script-synthesize-failing; script-repair-success,DSXU-owned terminal live acceptance evidence.
B09,Terminal FailureRepairLoop,implemented+live-evidenced,script-synthesize-failing; script-repair-success,DSXU-owned terminal live acceptance evidence.
B10,TimeoutGuard,implemented+live-evidenced,timeout-guard,DSXU-owned terminal live acceptance evidence.
B11,ArtifactChecker,implemented+live-evidenced,artifact-write; artifact-read,DSXU-owned terminal live acceptance evidence.
B12,TerminalBench Subset Adapter,boundary+live-evidenced,result-pack-proof,DSXU terminal subset adapter only; no Terminal-Bench 2.0 PASS claim.
B13,Internal Terminal-10/30 Runner,boundary+live-evidenced,result-pack-proof,Internal Terminal-10 style live smoke; Terminal-30 and public scores remain gated.
B14,TerminalResultPackager,implemented+live-evidenced,artifact-write; result-pack-proof,DSXU-owned terminal live acceptance evidence.
