path,statusCode,docClass,signoffDecision,releasePolicy,rule
"CHANGELOG.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"CODE_OF_CONDUCT.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"docs/CONFIGURATION.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"docs/CONTRIBUTING.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"docs/DOCTOR_HEALTH.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"docs/DSXU_V20_100_POINT_ARCHITECTURE_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_CLAUDE_EXPERIENCE_DATA_AUDIT_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_CLAUDE_SRC_COMPARATIVE_ABSORPTION_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_FULL_CODE_INTEGRATION_ASSESSMENT_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_MAINLINE_OWNER_MAP_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
