"path","term","count","surface","classification","releaseRisk"
"docs/INSTALL.md","DeepSeek","4","docs-other","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V18_V19_MERGED_AUDIT_20260510_CLEAN.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_C2_FULL_OWNER_EXECUTION_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_CLAUDE_EXPERIENCE_DATA_AUDIT_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_CLAUDE_SRC_COMPARATIVE_ABSORPTION_REVIEW_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_COMMERCIAL_IP_BRAND_RELEASE_GATE_20260515.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_FULL_CODE_INTEGRATION_ASSESSMENT_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_MAINLINE_OWNER_MAP_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_MASTER_PLAN_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_OWNER_GAP_MATRIX_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_OWNER_GIT_REVIEW_EXECUTION_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
"docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260514.md","DeepSeek","2","internal-evidence-doc","configured-provider-brand-review","allowed-provider-reference-review"
