priority,id,label,decision,referenceFileCount,referenceSignalHits,mechanismClass,dsxuOwner,v18Capabilities,v18PassCount,v18DeferredCount,v26Action,acceptance,claimRisk
"P0","goal-plan-query-loop","Goal / Plan / Query Loop","implemented+tested","1420","44027","cognitive-workflow: goal, source truth, repair, and recovery","DSXU Query Loop / Entry Composition","S00; C01; C05; C10; C18","5","0","把 plan/nextAction/stopCondition 接入同一 work-state timeline，并让长任务恢复后先重建目标快照。","真实 DSXU 复杂任务窗口中，每轮都能看到 goal/plan/currentAction/nextAction/finalEvidence。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=66404; missing explicit evidence paths=0."
"P0","visible-work-state","Visible Work-State Projection","implemented+tested","1471","42354","trust-and-visibility: user-visible state, evidence, and release confidence","UI/TUI Visible-State Projection","C02; C03; C04; C15; C16","5","0","继续把 Tool/Permission/Agent/MCP evidence 接入 work-state timeline，不只停留在 final report。","TUI/CLI/stream-json/final report 四端字段一致，side-effect 无权限不可 READY。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=47596; missing explicit evidence paths=0."
"P0","source-truth-coding-repair","Source Truth / Coding Repair","implemented+tested","1734","47413","cognitive-workflow: goal, source truth, repair, and recovery","Source Truth / Code Repair Owner","A01; A02; A03; A04; A05; A06; A07; A08; A09; A10; A11; A12; A13; A15","14","0","把 source-truth capsule 从 public challenge 推广到常规 code-mode 修复主线，并加 Read fallback governor。","复杂代码任务默认 search -> anchor/range read -> patch -> focused test；全文件 Read 必须带 fallback reason 和预算。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=59198; missing explicit evidence paths=0."
"P0","tool-result-cache-hygiene","Tool Result / Cache Hygiene","implemented+tested","1492","26941","deepseek-runtime: model routing, context cache, and cost control","Context Compiler / Token Firewall / DeepSeek Cache Owner","M06; C07; C08; C09; C16","5","0","完成 ablation rerun，并把 cache miss attribution 接进 GitHub 图表数据。","同题 before/after 显示 cost、toolResultChars、cacheHitRate、scoreFloor；score 不下降才允许写优化卖点。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=30289; missing explicit evidence paths=1."
"P0","tool-permission-lifecycle","Tool / Permission Lifecycle","implemented+tested","1179","37741","execution-boundary: tools, permissions, agents, ecosystem, and external hosts","Tool Gate / Permission Gate","C04; C11; B04; B07","4","0","把 permission/tool events 全量投影进 work-state timeline；拒绝、blocked、skipped 都不能被包装为 PASS。","side-effect tool 无 visible permission 时 guard 阻断；用户能看到拒绝后下一步。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=55159; missing explicit evidence paths=0."
"P1","terminal-shell-reliability","Terminal / Shell Reliability","needs-live-evidence","1586","21963","execution-boundary: tools, permissions, agents, ecosystem, and external hosts","Terminal Tool Adapter / Result Pack","B01; B02; B03; B05; B06; B08; B09; B10; B11; B12; B13; B14","12","0","补 terminal reliability live demo，覆盖长命令、失败、超时、恢复、结果包。","真实 DSXU 窗口能展示 shell state before/after、failureType、recoveryAction、artifact path。","Code/test exists, but live DSXU window or product smoke evidence is still required before public claim. DSXU signal hits=22914; missing explicit evidence paths=0."
"P0","context-memory-recovery","Context / Memory / Recovery","implemented+tested","1246","29982","cognitive-workflow: goal, source truth, repair, and recovery","Context Builder / Recovery Mainline","C13; C14; C17; C18","4","0","把 compact/resume 后的 source reread 与 cache hygiene 纳入 senior-coding window 验收。","恢复任务不能丢 goal/files/failed command/risk；memory 不能绕过源码重读。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=44083; missing explicit evidence paths=0."
"P1","agent-orchestration-evidence","Agent Orchestration / Parent Evidence","implemented+tested-claim-limited","732","28152","execution-boundary: tools, permissions, agents, ecosystem, and external hosts","Agent Lifecycle","PZ07; C12","2","0","补 agent parent/worker evidence pack，并接入 visible-state timeline。","父任务 final 不能引用未验证 worker 成功；子任务 transcript 不进入主线程长上下文。","Implementation exists, but public copy must be constrained to subset/adapted behavior. DSXU signal hits=39136; missing explicit evidence paths=0."
"P1","mcp-skill-ecosystem","MCP / Skill Ecosystem","implemented+tested","965","32748","execution-boundary: tools, permissions, agents, ecosystem, and external hosts","MCP / Skill Registry","C06","1","0","补 Superpowers 作为二级技能包的 priority/conflict/routing 任务卡，但不形成第二 skill runtime。","冲突时可解释选择/拒绝；MCP/skill 接入仍走 Tool Gate。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=36237; missing explicit evidence paths=0."
"P0","deepseek-model-cost-cache","DeepSeek Model / Cost / Cache","implemented+tested","1506","34683","deepseek-runtime: model routing, context cache, and cost control","DeepSeek Runtime / Cost Evidence","M01; M02; M03; M06; M07; C09; C16; A14","8","0","继续同步 public challenge 和 capability cost crosswalk；修正任何把 70 PASS 当作公开90能力的 claim。","所有公开成本卖点都有 route/cost/cache trajectory；默认大部分使用 deepseek-v4-flash。","Can support DSXU-owned internal/release evidence; public 90 claim still requires public challenge raw proof. DSXU signal hits=45837; missing explicit evidence paths=0."
