id,domain,capability,historicalStatus,acceptanceDecision,evidenceStrength,strictPublicClaimAllowed,dsxuFitTier,dsxuFitReason,dsxuOwner,v18Meaning,risk,nextAction
"S00","product-scope","DSXU CLI = DeepSeek V4 Code/Terminal orchestration enhancer","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"S01","product-mode","Cold Mode","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"M01","model-adapter","DeepSeek V4 Flash/Pro Adapter","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","DeepSeek runtime / model-cost-cache owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"M02","model-adapter","Thinking Mode / Effort control","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","DeepSeek runtime / model-cost-cache owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"M03","model-adapter","ReasoningStateManager","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","DeepSeek runtime / model-cost-cache owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"M04","model-adapter","Tool Calls support","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","DeepSeek runtime / model-cost-cache owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"M05","model-adapter","JSON Output mode","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","DeepSeek runtime / model-cost-cache owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"M06","model-adapter","Context Cache hit planning","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","DeepSeek runtime / model-cost-cache owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C01","core-runtime","CLI Main Chain","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C03","core-runtime","Task Timeline Renderer","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
