"ownerPacket","path","rawRedlines","adjudication","activeBlockingRedline","ownerDecision"
"V20-OGR-10-entry-query-tool-composition","src/QueryEngine.ts","ui-or-adapter-direct-runtime-execution","QUERY_ENGINE_COMPOSITION_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-05-agent-task-lifecycle","src/components/FallbackToolUseErrorMessage.tsx","provider-fallback-runtime","UI_FALLBACK_MESSAGE_LABEL_NOT_PROVIDER_RUNTIME","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-05-agent-task-lifecycle","src/components/FallbackToolUseRejectedMessage.tsx","provider-fallback-runtime","UI_FALLBACK_MESSAGE_LABEL_NOT_PROVIDER_RUNTIME","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-05-agent-task-lifecycle","src/components/messages/UserToolResultMessage/UserToolErrorMessage.tsx","provider-fallback-runtime","UI_FALLBACK_MESSAGE_LABEL_NOT_PROVIDER_RUNTIME","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-05-agent-task-lifecycle","src/components/messages/UserToolResultMessage/UserToolRejectMessage.tsx","provider-fallback-runtime","UI_FALLBACK_MESSAGE_LABEL_NOT_PROVIDER_RUNTIME","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/services/tools/StreamingToolExecutor.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/AgentTool/AgentTool.tsx","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/AgentTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/AskUserQuestionTool/AskUserQuestionTool.tsx","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/BashTool/BashTool.tsx","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
