gapId,capability,dsxuOwner,evidencePaths,coverageDecision,missingWork,nextAction,releaseGate
V20-GAP-01,Permission Queue / Tool Gate visible decision,Permission / Tool Gate,"src/components/permissions/PermissionPrompt.tsx; src/hooks/toolPermission/permissionLogging.ts; src/dsxu/control-plane/permissionControlBridge.ts; src/tools/__tests__/v20-tool-permission-owner-gate.test.ts",MAINLINE_PRESENT_NEEDS_RUNTIME_ACCEPTANCE,"UI/TUI queue-level operator view still needs real task evidence across Bash/PowerShell/File/MCP/Agent denial and recovery.","Run permission-focused real operation acceptance after owner/Git mutation review; do not create a second permission queue runtime.",BLOCKED_UNTIL_OWNER_GIT_AND_REAL_TEST
V20-GAP-02,MCP Server registry / install / status / doctor,MCP / Skill / Plugin,"src/services/mcp/officialRegistry.ts; src/services/mcp/doctor.ts; src/services/mcp/config.ts; src/commands/mcp/mcp.tsx; src/components/mcp/MCPSettings.tsx",MAINLINE_PRESENT_NEEDS_REAL_SERVER_ACCEPTANCE,"Doctor and config owner exist, but V20 release still needs one real manifest install/list/status/tool-call evidence bundle.","Use existing services/mcp owner and command/UI surfaces only; no engine MCP runtime resurrection.",BLOCKED_UNTIL_REAL_MCP_SERVER_EVIDENCE
V20-GAP-03,Claude-compatible project intake,Context / Memory + MCP / Skill / Plugin + Commands,"src/services/mcp/config.ts; src/skills/loadSkillsDir.ts; src/commands/init.ts; src/utils/settings/types.ts; src/utils/plugins/pluginLoader.ts",PARTIAL_CONTRACT_NEEDS_PRODUCTIZATION,".mcp.json and legacy .claude skills/commands hooks are detectable in existing owners, but no single V20 intake report proves DSXU.md/commands/skills/hooks all land in DSXU owners.","Implement or verify external-code-compatible project intake in existing config/skill/plugin/settings owners; forbid a compat holding runtime.",BLOCKED_UNTIL_INTAKE_ACCEPTANCE
V20-GAP-04,External Agent Host / AionUi-like contract,CLI / Query Loop / Bridge / UI,"src/entrypoints/agentSdkTypes.ts; src/services/bridge/dsxuRemoteBridgeFacade.ts; src/services/bridge/dsxuRemoteSessionCoordinator.ts; src/cli/remoteIO.ts",PARTIAL_CONTRACT_NEEDS_PRODUCTIZATION,"SDK/remote/bridge types exist, but a productized external host contract needs one real task proving messages enter Query Loop, Tool Gate, Context and Evidence.","Use current SDK/remote bridge surfaces as facade only; no external host orchestrator.",BLOCKED_UNTIL_EXTERNAL_HOST_ACCEPTANCE
V20-GAP-05,External Chat Client / Cherry-like OpenAI-compatible Agent API,Query Loop API + Model Router boundary,"src/entrypoints/agentSdkTypes.ts; src/services/api/sessionIngress.ts; src/services/api/dsxu.ts; src/services/api/dsxu-model.ts",PARTIAL_CONTRACT_NEEDS_PRODUCTIZATION,"SDK/session ingress exist, but V20 still needs a local agent API contract that proves chat clients cannot bypass Tool Gate or Model Router.","Productize through existing SDK/API/session ingress owner; avoid a second chat-agent runtime.",BLOCKED_UNTIL_AGENT_API_ACCEPTANCE
V20-GAP-06,Warp-like terminal host contract,CLI / Terminal Host / Tool Lifecycle,"src/ink/terminal.ts; src/cli/remoteIO.ts; src/commands/terminalSetup/terminalSetup.tsx; src/entrypoints/dsxu-code.tsx",MAINLINE_PRESENT_NEEDS_RUNTIME_ACCEPTANCE,"Terminal and remote IO surfaces exist, but release needs a terminal-host acceptance task with permission, failure recovery and evidence projection.","Keep terminal host as UI/transport boundary; execution remains DSXU Query Loop and Tool Gate.",BLOCKED_UNTIL_TERMINAL_ACCEPTANCE
V20-GAP-07,browser-use-like browser tool provider contract,Tool Lifecycle + Permission + Evidence,"src/utils/dsxuBrowserProvider/mcpServer.ts; src/utils/computerUse/mcpServer.ts; src/skills/bundled/DsxuBrowserProvider.ts; src/components/DsxuBrowserProviderOnboarding.tsx",MAINLINE_PRESENT_NEEDS_REAL_BROWSER_ACCEPTANCE,"Browser provider entry and onboarding exist, but V20 release still needs real browser operation evidence with manifest, permission decision, tool trace, screenshot/DOM/console and final report.","Use DSXU browser provider / computer-use MCP as controlled tool provider; do not import browser-use as runtime.",BLOCKED_UNTIL_BROWSER_ACCEPTANCE
V20-GAP-08,Bridge / Remote / IDE / CI clean-room facade,Bridge / Remote / CI + Permission Bridge,"src/services/bridge/dsxuRemoteBridgeFacade.ts; src/services/bridge/remotePermissionProjection.ts; src/services/bridge/dsxuSdkMessageProjection.ts; src/commands/bridge/bridge.tsx; src/commands/remote-setup/remote-setup.tsx",MAINLINE_PRESENT_NEEDS_CONTRACT_ACCEPTANCE,"Bridge and permission projection exist, but release needs a session lifecycle acceptance proving SDK messages and permission requests route into DSXU owners.","Keep bridge as facade; no direct tool execution behind bridge.",BLOCKED_UNTIL_BRIDGE_ACCEPTANCE
V20-GAP-09,UI/TUI work-state and operator dashboard,UI / TUI visible-state projection,"src/state/AppState.tsx; src/state/store.ts; src/components/permissions/*; src/components/mcp/*; src/components/agents/*",PARTIAL_CONTRACT_NEEDS_PRODUCTIZATION,"Many visible-state surfaces exist, but there is no unified operator dashboard acceptance proving progress, permissions, agents, cost, recovery and evidence links are visible together.","Use existing AppState/components as projection; do not create a hidden operator runtime.",BLOCKED_UNTIL_UI_EXPERIENCE_ACCEPTANCE
V20-GAP-10,Cost / evidence / recovery visible state,Model Router + Evidence + Recovery,"src/cost-tracker.ts; src/dsxu/engine/final-report-usage-evidence.ts; src/dsxu/engine/runtime-evidence-collector-v1.ts; src/dsxu/engine/recovery/recovery-integration-v3.ts; src/dsxu/engine/v19-cost-cache-live-task-evidence.ts",MAINLINE_PRESENT_NEEDS_E2E_ACCEPTANCE,"Cost, evidence and recovery owners exist, but final acceptance must prove they appear in real task final report and UI/TUI state, not only unit evidence.","Run real coding/recovery/cost task after owner/Git closure; keep all evidence in named owners.",BLOCKED_UNTIL_REAL_TASK_EVIDENCE
V20-GAP-11,DeepSeek-TUI-style open-source productization,Release / Export / Doctor,"README.md; docs/INSTALL.md; docs/CONFIGURATION.md; docs/DOCTOR_HEALTH.md; docs/RELEASE_RUNBOOK.md; package.json",PARTIAL_PRODUCTIZATION,"Docs and scripts exist, but package/release smoke, version assets, checksum/rollback and post-release verification are still not final PASS.","Finish after owner/Git, deletion, ACL and real-gap acceptance; DeepSeek-TUI remains productization reference only.",BLOCKED_UNTIL_RELEASE_PREFLIGHT
V20-GAP-12,Final six-stage V20 acceptance and clean export,Eval / Release,"docs/DSXU_V20_REAL_OPERATION_TEST_ACCEPTANCE_20260514.md; scripts/dsxu-release-gate.ts; scripts/dsxu-health-audit.ts",NOT_STARTED_BY_DESIGN,"Final function, experience, recovery, performance, eval and release closure tests must wait for owner/Git mutation, ACL residue closure and real-gap acceptance.","Do not run final acceptance as substitute for unresolved product work.",BLOCKED_UNTIL_ALL_UPSTREAM_GATES_PASS
