"ownerPacket","total","modified","deleted","untracked","c2Priority","c2ReviewCandidate","c2SharedUtility","remappedOut","packetDecision","signoffState","executionRule"
"V20-OGR-01-docs-generated-plan","24","2","0","22","0","0","0","0","docs-generated-owner-signoff-required","OWNER_ACCEPTED_RELEASE_EVIDENCE_PENDING_GIT_REVIEW","sign off generated docs/evidence as release evidence, or move non-ship evidence out of release scope"
"V20-OGR-02-delete-old-evidence-review-runtime","45","0","45","0","0","0","0","0","deletion-mutation-ready-after-explicit-git-review","DELETE_READY_PENDING_GIT_MUTATION_REVIEW","explicit Git mutation review; do not restore old runtime files"
"V20-OGR-02-delete-old-provider-legacy-harness","71","0","71","0","0","0","0","0","deletion-mutation-ready-after-explicit-git-review","DELETE_READY_PENDING_GIT_MUTATION_REVIEW","explicit Git mutation review; do not restore old runtime files"
"V20-OGR-02-delete-state-owner-review","27","0","27","0","0","0","0","0","deletion-mutation-ready-after-explicit-git-review","DELETE_READY_PENDING_GIT_MUTATION_REVIEW","explicit Git mutation review; do not restore old runtime files"
"V20-OGR-03-delete-engine-builtin-tools-runtime","2","0","2","0","0","0","0","0","deletion-mutation-ready-after-explicit-git-review","DELETE_READY_PENDING_GIT_MUTATION_REVIEW","explicit Git mutation review; do not restore old runtime files"
"V20-OGR-03-tool-permission-lifecycle","205","201","0","4","12","0","12","0","owner-signoff-ready-tool-permission-single-runtime","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against Tool Gate and Permission owner; reject hidden runner shortcuts"
"V20-OGR-04-delete-engine-mcp-client-runtime","1","0","1","0","0","0","0","0","deletion-mutation-ready-after-explicit-git-review","DELETE_READY_PENDING_GIT_MUTATION_REVIEW","explicit Git mutation review; do not restore old runtime files"
"V20-OGR-04-mcp-skill-plugin-registry","142","139","0","3","11","0","11","0","owner-signoff-ready-mcp-skill-plugin-single-runtime","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against src/services/mcp, skills, plugins registry only"
"V20-OGR-05-agent-task-lifecycle","170","170","0","0","16","11","5","0","owner-signoff-ready-agent-task-single-orchestrator","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against AgentTool/Task lifecycle; reject simulator/runtime duplicates"
"V20-OGR-05-external-integration-adapter-boundary","27","25","0","2","0","0","0","0","owner-signoff-ready-external-adapter-boundary","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff as adapter boundary; reject standalone host runtime"
"V20-OGR-06-ui-tui-visible-state","437","437","0","0","106","2","104","0","owner-signoff-ready-visible-state-projection","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff as UI/TUI projection; reject direct tool/query/provider runtime"
"V20-OGR-07-provider-migration-model-cost","101","91","0","10","35","3","32","0","owner-signoff-ready-deepseek-provider-cost-boundary","OWNER_ACCEPTED_PENDING_GIT_REVIEW","owner signoff against DeepSeek adapter/router/cost evidence"
"V20-OGR-08-cli-command-transport","178","177","0","1","12","9","3","0","owner-signoff-required-cli-transport-entry-boundary","OWNER_ACCEPTED_PENDING_GIT_REVIEW","review CLI/transport as entry boundary only; no second query loop"
"V20-OGR-09-dsxu-engine-mainline","48","44","0","4","0","0","0","0","owner-signoff-required-dsxu-engine-mainline","OWNER_ACCEPTED_PENDING_GIT_REVIEW","review engine mainline composition and evidence terms"
"V20-OGR-10-entry-query-tool-composition","6","6","0","0","0","0","0","0","owner-signoff-required-entry-query-tool-composition","OWNER_ACCEPTED_PENDING_GIT_REVIEW","review entry/query/tool composition only; no fallback composition"
"V20-OGR-12-shared-platform-utilities","249","247","0","2","86","10","76","0","conditional-signoff-shared-utility-only-if-imported","CONDITIONAL_OWNER_ACCEPTED_IMPORT_REQUIRED","retain only imported utilities; mark unused/product-specific helpers replace-delete"
"V20-OGR-13-other-source-owner-review","91","91","0","0","42","7","35","91","owner-review-required-other-source","REMAPPED_TO_NAMED_OWNER_PACKET","map to named owner or replace/delete candidate before PASS"
