"ownerPacket","track","productPaths","deletionPaths","modifiedPaths","untrackedPaths","deletedPaths","commandCount","commandPathCount","stageReady","riskTier","authorizationAction","statusImpactTruth","finalGateImpact","reviewStates","replacementOwners"
"V20-OGR-01-docs-generated-plan","product","52","0","2","50","0","2","52","true","release-evidence","explicit owner/Git product-stage authorization; keep packet owner boundary","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","owner-review-required|owner-review-required-release-evidence",""
"V20-OGR-02-delete-old-evidence-review-runtime","deletion","0","45","0","0","45","2","45","true","medium","explicit owner/Git deletion-stage authorization; do not restore old duplicate runtime","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","delete-ready-pending-git-mutation-review","V20-OGR-03-tool-permission-lifecycle|V20-OGR-04-mcp-skill-plugin-registry|V20-OGR-05-agent-task-lifecycle|V20-OGR-09-dsxu-engine-mainline-or-evidence-owner"
"V20-OGR-02-delete-old-provider-legacy-harness","deletion","0","71","0","0","42","2","71","true","medium","explicit owner/Git deletion-stage authorization; do not restore old duplicate runtime","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","delete-ready-pending-git-mutation-review","V20-OGR-07-provider-migration-model-cost"
"V20-OGR-02-delete-state-owner-review","deletion","0","27","0","0","25","1","27","true","medium","explicit owner/Git deletion-stage authorization; do not restore old duplicate runtime","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","delete-ready-pending-git-mutation-review","V20-OGR-03-tool-permission-lifecycle|V20-OGR-05-agent-task-lifecycle|V20-OGR-07-provider-migration-model-cost|V20-OGR-09-dsxu-engine-mainline-or-evidence-owner"
"V20-OGR-03-delete-engine-builtin-tools-runtime","deletion","0","2","0","0","2","1","2","true","high","explicit owner/Git deletion-stage authorization; do not restore old duplicate runtime","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","delete-ready-pending-git-mutation-review","V20-OGR-03-tool-permission-lifecycle"
"V20-OGR-03-tool-permission-lifecycle","product","192","0","188","4","0","5","192","true","high","explicit owner/Git product-stage authorization; keep packet owner boundary","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","high-risk-owner-review-required",""
"V20-OGR-04-delete-engine-mcp-client-runtime","deletion","0","1","0","0","1","1","1","true","high","explicit owner/Git deletion-stage authorization; do not restore old duplicate runtime","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","delete-ready-pending-git-mutation-review","V20-OGR-04-mcp-skill-plugin-registry"
"V20-OGR-04-mcp-skill-plugin-registry","product","141","0","138","3","0","4","141","true","high","explicit owner/Git product-stage authorization; keep packet owner boundary","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","high-risk-owner-review-required",""
"V20-OGR-05-agent-task-lifecycle","product","202","0","202","0","0","6","202","true","high","explicit owner/Git product-stage authorization; keep packet owner boundary","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","high-risk-owner-review-required",""
"V20-OGR-05-external-integration-adapter-boundary","product","32","0","30","2","0","1","32","true","high","explicit owner/Git product-stage authorization; keep packet owner boundary","git add changes index state only; git status count remains until a later explicit commit/closeout action","enables post-authorization verification; final tests/export still require P12 target manifest and ACL closure","owner-review-required",""
