"statusCode","path","originalPacket","targetOwnerPacket","remapDecision","signoffState"
"M","src/bootstrap/state.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-settings-migration-shared-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/commands.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/betas.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/cyberRiskInstruction.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/errorIds.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/figures.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-shared-constant-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/github-app.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-shared-constant-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/keys.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-shared-constant-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/outputStyles.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-shared-constant-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/product.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/prompts.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/spinnerVerbs.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-shared-constant-utility","remapped-to-named-owner-pending-owner-git-signoff"
