"index","comparisonId","taskId","side","rawLogPath","rawLogExists","artifactCount","artifactExistsCount","evidenceComplete","integrityComplete","metricsComplete","riskCount","status"
"0","P12-19-RT-01","RT-01","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"1","P12-19-RT-01-additional-2","RT-01-additional-2","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"2","P12-19-RT-01-additional-3","RT-01-additional-3","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"3","P12-19-RT-02-additional-1","RT-02-additional-1","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"4","P12-19-RT-02-additional-2","RT-02-additional-2","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"5","P12-19-RT-03-additional-1","RT-03-additional-1","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"6","P12-19-RT-03-additional-2","RT-03-additional-2","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"7","P12-19-RT-04","RT-04","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"8","P12-19-RT-04-additional-2","RT-04-additional-2","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"9","P12-19-RT-05-additional-1","RT-05-additional-1","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"10","P12-19-RT-06-additional-1","RT-06-additional-1","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"11","P12-19-RT-07","RT-07","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"12","P12-19-RT-07-additional-2","RT-07-additional-2","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
"13","P12-19-RT-08","RT-08","target-reference","D:\DSXU-code\.dsxu\trace\p12-target-reference-codex-runner-v1\target-reference-codex-v2.raw.jsonl","true","4","4","true","true","true","3","READY"
