id,priority,mechanismArea,mechanismClass,role,phase,title,dsxuOwner,value,deepseekAdaptation,implementationBoundary,acceptanceEvidence
RSB-0001,P0,Goal Contract / Stop Conditions,cognitive-workflow,senior feature engineer,preflight / plan,Goal Contract / Stop Conditions for senior feature engineer during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0002,P0,Goal Contract / Stop Conditions,cognitive-workflow,senior feature engineer,execution / action,Goal Contract / Stop Conditions for senior feature engineer during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0003,P1,Goal Contract / Stop Conditions,cognitive-workflow,senior feature engineer,failure / diagnosis,Goal Contract / Stop Conditions for senior feature engineer during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0004,P1,Goal Contract / Stop Conditions,cognitive-workflow,senior feature engineer,recovery / retry,Goal Contract / Stop Conditions for senior feature engineer during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0005,P2,Goal Contract / Stop Conditions,cognitive-workflow,senior feature engineer,proof / release evidence,Goal Contract / Stop Conditions for senior feature engineer during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0006,P0,Goal Contract / Stop Conditions,cognitive-workflow,debugging engineer,preflight / plan,Goal Contract / Stop Conditions for debugging engineer during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：失败复现、根因定位、修复、回归和证据。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0007,P0,Goal Contract / Stop Conditions,cognitive-workflow,debugging engineer,execution / action,Goal Contract / Stop Conditions for debugging engineer during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：失败复现、根因定位、修复、回归和证据。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0008,P1,Goal Contract / Stop Conditions,cognitive-workflow,debugging engineer,failure / diagnosis,Goal Contract / Stop Conditions for debugging engineer during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：失败复现、根因定位、修复、回归和证据。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0009,P1,Goal Contract / Stop Conditions,cognitive-workflow,debugging engineer,recovery / retry,Goal Contract / Stop Conditions for debugging engineer during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：失败复现、根因定位、修复、回归和证据。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0010,P2,Goal Contract / Stop Conditions,cognitive-workflow,debugging engineer,proof / release evidence,Goal Contract / Stop Conditions for debugging engineer during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：失败复现、根因定位、修复、回归和证据。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
