"referencePath","disposition","finalOwnerPacket","dsxuOwner","dsxuDirectPath","dsxuDirectPathExists","capabilityLoops","capabilityLoopLabels","v26Owners","experienceSignalCategories","auditSymbolSignals","testEvidenceCount","liveTuiApiEvidence","behaviorEvidenceStatus","riskPriority","publicClaimStatus","requiredV26Action"
"assistant/sessionHistory.ts","product_specific_adapt_or_exclude","V20-OGR-07-provider-migration-model-cost","DeepSeek Model Router / Cost Evidence","src/assistant/sessionHistory.ts","yes","visible-work-state;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Visible Work-State;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-2 Senior Programmer Work-State Timeline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;memory_context;ui_interaction;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","5","4","docs/generated/DSXU_V24_COMPLEX_TASK_ACCEPTANCE_20260515.json;docs/generated/DSXU_V24_PUBLIC_CHALLENGE_PACKAGE_20260515.json;.dsxu/trace/v24-live-dsxu","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P1: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bootstrap/state.ts","product_specific_adapt_or_exclude","V20-OGR-09-dsxu-engine-mainline","DSXU Engine Mainline","src/bootstrap/state.ts","yes","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","235","4","docs/generated/DSXU_V24_COMPLEX_TASK_ACCEPTANCE_20260515.json;.dsxu/trace/v24-complex-task-acceptance","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P0: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bridge/bridgeApi.ts","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeApi.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","28","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P1: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bridge/bridgeConfig.ts","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeConfig.ts","no","tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;tool_runtime;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","4","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P1: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bridge/bridgeDebug.ts","absorbed_into_dsxu_mainline","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeDebug.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","11","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","P3: keep as absorbed mainline only if import/use, tests, and live evidence remain valid; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bridge/bridgeEnabled.ts","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeEnabled.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","9","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P1: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bridge/bridgeMain.ts","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeMain.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","188","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P1: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bridge/bridgeMessaging.ts","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeMessaging.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache;mcp-skill-ecosystem","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache;MCP / Skill / Ecosystem","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence;V26-5 Ecosystem Compatibility Capability Pack","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","17","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P1: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence; V26-5 Ecosystem Compatibility Capability Pack"
"bridge/bridgePermissionCallbacks.ts","absorbed_into_dsxu_mainline","V20-OGR-03-tool-permission-lifecycle","Tool Gate / Permission Gate","src/bridge/bridgePermissionCallbacks.ts","no","visible-work-state;tool-permission-lifecycle;context-memory-recovery","Visible Work-State;Tool / Permission Lifecycle;Context / Memory / Recovery","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-2/V26-4 Long Task Recovery","ui_interaction;tool_runtime;permission_safety;recovery_remote","0","5",".dsxu/trace/v24-c2-loop-real-acceptance/tool-permission-regression-2026-05-15T07-18-27-204Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","P3: keep as absorbed mainline only if import/use, tests, and live evidence remain valid; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-2/V26-4 Long Task Recovery"
"bridge/bridgePointer.ts","absorbed_into_dsxu_mainline","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgePointer.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","19","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","P3: keep as absorbed mainline only if import/use, tests, and live evidence remain valid; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence"
"bridge/bridgeStatusUtil.ts","product_specific_adapt_or_exclude","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeStatusUtil.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","28","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_ONLY_PRODUCT_SPECIFIC_ADAPTATION_OR_EXCLUSION","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED","P1: re-audit product-specific row; extract generic UX/recovery/telemetry mechanism into DSXU owner, exclude only brand/subscription/proprietary behavior; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence"
"bridge/bridgeUI.ts","absorbed_into_dsxu_mainline","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/bridgeUI.ts","no","visible-work-state;tool-permission-lifecycle;source-truth-coding;context-memory-recovery;model-cost-cache","Visible Work-State;Tool / Permission Lifecycle;Source Truth / Coding Loop;Context / Memory / Recovery;Model / Cost / Cache","V26-2 Senior Programmer Work-State Timeline;V26-4 Tool / Permission / Recovery Mainline;V26-4 Source Truth Repair Loop;V26-2/V26-4 Long Task Recovery;V26-3 DeepSeek Runtime Excellence","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","46","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","P3: keep as absorbed mainline only if import/use, tests, and live evidence remain valid; owners=V26-2 Senior Programmer Work-State Timeline; V26-4 Tool / Permission / Recovery Mainline; V26-4 Source Truth Repair Loop; V26-2/V26-4 Long Task Recovery; V26-3 DeepSeek Runtime Excellence"
"bridge/capacityWake.ts","absorbed_into_dsxu_mainline","V20-OGR-04-mcp-skill-plugin-registry","MCP / Skill / Plugin Registry","src/bridge/capacityWake.ts","no","context-memory-recovery;mcp-skill-ecosystem","Context / Memory / Recovery;MCP / Skill / Ecosystem","V26-2/V26-4 Long Task Recovery;V26-5 Ecosystem Compatibility Capability Pack","memory_context;recovery_remote;plugin_mcp_skill","5","4",".dsxu/trace/v24-c2-loop-real-acceptance/agent-mcp-skill-regression-2026-05-15T07-18-31-377Z.stdout.log;docs/generated/DSXU_V24_C2_LOOP_REAL_ACCEPTANCE_20260515.json","OWNER_DISPOSITION_PLUS_OWNER_BEHAVIOR_EVIDENCE","P3","CLAIMABLE_ONLY_WITH_EXISTING_OWNER_EVIDENCE","P3: keep as absorbed mainline only if import/use, tests, and live evidence remain valid; owners=V26-2/V26-4 Long Task Recovery; V26-5 Ecosystem Compatibility Capability Pack"
