"path","ownerPacket","replacementOwner","activeImportReferenceStatus","reviewDecision"
"src/dsxu/engine/__tests__/audit-v10-3-strict-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/c02-prompt-stack-mainline-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/c03-querycontext-classifiers-mainline-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/clean-export-readiness-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/context-query-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/coordinator-lifecycle-v5-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/coordinator-mainline-v3-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/coordinator-mode-and-bridge-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/dirty-worktree-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/final-release-preflight-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/mainline-dirty-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/owner-git-import-use-evidence-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
