"profile","window","sampleCount","passAt1","verifiedCompletionRate","costToVerifiedCompletion","medianLatencyMs","toolMisuseRate","invalidToolCallRate","toolStarvationRate","falsePassRate","contextGrowthTokens","guards"
"single_file_edit","8","1","1","1","0.00352","1292","0","0","1","0","1060",""
"single_file_edit","12","1","1","1","0.00404","1356","0","0","0","0","1240",""
"single_file_edit","16","1","1","1","0.00488","1596","0","0","0","0","1420",""
"single_file_edit","20","1","0","0","0","1836","1","0","0","0","1600","visible tool view exceeds V8 single_file_edit max of 16"
"single_file_edit","24","1","0","0","0","2076","1","1","0","0","1780","visible tool view exceeds V8 single_file_edit max of 16"
"single_file_edit","27","1","0","0","0","2256","1","1","0","0","1915","visible tool view exceeds V8 single_file_edit max of 16"
"debug","8","1","0","0","0","1380","0","0","1","0","1060","visible tool view is below V8 debug minimum of 12"
"debug","12","1","1","1","0.0042","1444","0","0","1","0","1240",""
"debug","16","1","1","1","0.00472","1508","0","0","0","0","1420",""
"debug","20","1","1","1","0.00556","1748","0","0","0","0","1600",""
"debug","24","1","1","1","0.0064","1988","0","0","0","0","1780",""
"debug","27","1","0","0","0","2168","1","0","0","0","1915","visible tool view exceeds V8 debug max of 24"
"multi_file_refactor","8","1","0","0","0","1468","0","0","1","0","1060","visible tool view is below V8 multi_file_refactor minimum of 16"
"multi_file_refactor","12","1","0","0","0","1532","0","0","1","0","1240","visible tool view is below V8 multi_file_refactor minimum of 16"
"multi_file_refactor","16","1","1","1","0.00488","1596","0","0","1","0","1420",""
"multi_file_refactor","20","1","1","1","0.0054","1660","0","0","0","0","1600",""
"multi_file_refactor","24","1","1","1","0.00624","1900","0","0","0","0","1780",""
"multi_file_refactor","27","1","0","0","0","2080","1","0","0","0","1915","visible tool view exceeds V8 multi_file_refactor max of 24"
"long_task","8","1","0","0","0","1556","0","0","1","0","1060","visible tool view is below V8 long_task minimum of 16"
"long_task","12","1","0","0","0","1620","0","0","1","0","1240","visible tool view is below V8 long_task minimum of 16"
"long_task","16","1","1","1","0.00504","1684","0","0","1","0","1420",""
"long_task","20","1","1","1","0.00556","1748","0","0","1","0","1600",""
"long_task","24","1","1","1","0.00608","1812","0","0","0","0","1780",""
"long_task","27","1","1","1","0.00671","1992","0","0","0","0","1915",""
"benchmark","8","1","0","0","0","1468","0","0","1","0","1060","visible tool view is below V8 benchmark minimum of 16"
"benchmark","12","1","0","0","0","1532","0","0","1","0","1240","visible tool view is below V8 benchmark minimum of 16"
"benchmark","16","1","1","1","0.00488","1596","0","0","1","0","1420",""
"benchmark","20","1","1","1","0.0054","1660","0","0","0","0","1600",""
"benchmark","24","1","1","1","0.00624","1900","0","0","0","0","1780",""
"benchmark","27","1","0","0","0","2080","1","0","0","0","1915","visible tool view exceeds V8 benchmark max of 24"
"review","8","1","1","1","0.00352","1292","0","0","1","0","1060",""
"review","12","1","1","1","0.00404","1356","0","0","0","0","1240",""
"review","16","1","1","1","0.00488","1596","0","0","0","0","1420",""
"review","20","1","0","0","0","1836","1","0","0","0","1600","visible tool view exceeds V8 review max of 16"
"review","24","1","0","0","0","2076","1","1","0","0","1780","visible tool view exceeds V8 review max of 16"
"review","27","1","0","0","0","2256","1","1","0","0","1915","visible tool view exceeds V8 review max of 16"
