"path","lines","owner","reasonixMechanism","status","staticRisks","recommendedAction"
"src/services/static-analysis/runner.ts","447","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/listSessionsImpl.ts","411","Shared runtime utility owner","parallel-safe-dispatch;tool-call-repair","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/native-ts/file-index/index.ts","371","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/readFileInRange.ts","353","Shared runtime utility owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/bash/ParsedCommand.ts","319","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/git/gitConfigParser.ts","278","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/cron.ts","272","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/plugins/reconciler.ts","266","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/suggestions/directoryCompletion.ts","264","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/bash/parser.ts","231","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/notebook.ts","225","Shared runtime utility owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/windowsPaths.ts","209","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
