"path","line","term","ownerClass","disposition","releaseAction"
"src/commands/terminalSetup/terminalSetup.tsx","31","Warp","terminal-platform-technical-identifier","KEEP_INTERNAL_IDENTIFIER_PRODUCT_COPY_NEUTRALIZED","do not market named terminal host; keep platform detection only"
"src/coordinator/coordinatorMode.ts","322","Cherry","git-primitive-false-positive","KEEP_GENERIC_GIT_OPERATION","git cherry-pick is a command primitive, not product branding"
"src/dsxu/engine/__tests__/api-service.test.ts","42","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","42","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","44","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","44","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","46","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","46","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","47","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","47","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","52","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","54","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","56","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","57","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","62","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","62","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
