"field","required","rejectionRule"
"schemaVersion","true","must equal dsxu.phase12-raw-log-manifest.v1"
"side","true","must equal target-reference"
"source.collectedAt","true","must be filled after real target run"
"source.acquisitionMethod","true","must be manual-import or runner-export"
"source.immutableRawDir","true","must point to immutable target-reference run output"
"logs[].comparisonId","true","must match the collection work order comparisonId"
"logs[].taskId","true","must match the collection work order taskId"
"logs[].taskPrompt","true","must be the exact same-task prompt"
"logs[].rawLogPath","true","must point to real raw transcript output"
"logs[].artifactPaths","true","must include tool trace, final report, artifacts, metrics, and risks"
"logs[].evidence","true","baseline/context/execution/recovery/verification/cost/final must be true"
"logs[].integrity","true","rawTranscript/toolTrace/finalReport must be true"
"logs[].metrics","true","elapsed/intervention/tool/evidence/cost/no-evidence metrics must be present"
"logs[].risks","true","must list real target risks; empty is allowed only when supported by raw output"
